"","x"
"1","Soundtrack"
"2","none"
"3","Electronica"
"4","Rock"
"5","Dance & House"
"6","Pop"
"7","Game"
"8","Indie Rock"
"9","ALTEMA Records"
"10","Electronica_Dance"
"11","Other"
"12","Dubstep"
"13","Electronic"
"14","その他"
"15","J-POP"
"16","Jazz"
"17","Soundtrack(Anime)"
"18","つかさRecords"
"19","Dance"
"20","R&B"
"21","Anime"
"22","Tia-Licot"
"23","Alternative"
"24","japanese newtown"
"25","Nerdstep"
"26","Alternative & Punk"
"27","BASS"
"28","Blues"
"29","Techno"
"30","Drum & Bass"
"31","Latin"
"32","POPS"
"33","moeclick"
"34","Elect-LO-nica"
"35","Experimental"
"36","Techno_House_Electro_Disco_RAVE_Acid_Urban_"
"37","TsukasaRecords"
"38","Easy Listening"
"39","House"
"40","8 Bit"
"41","Chiptune"
"42","Electro House"
"43","J-Garage"
"44","Tech House"
"45","テクノ"
"46","ワールド"
"47","BASSLINE"
"48","Children's"
"49","Doujin"
"50","Drum'n'bass"
"51","Electro"
"52","Rap"
"53","Techno - General"
"54","Touhou House"
"55","Unclassifiable"
"56","エレクトロニック"
"57","ボイスメモ"
"58","<Unknown>"
"59","Agecore"
"60","Bass"
"61","Deep House"
"62","Dubstep _ Drumstep _ DnB"
"63","elegantdisc"
"64","Fryxell"
"65","house"
"66","Jpop"
"67","MarginalRec."
"68","Nu Disco"
"69","Poptronica"
"70","Progressive House"
"71","Progressive House _ Trance - General"
"72","Self Healing"
"73","Tech House - General"
"74","アニメ"
"75","ハウス"
"76","127"
"77","129"
"78","acoustic_ambient_electronica"
"79","acoustic_electronica"
"80","Ambient"
"81","Ambient Electronica"
"82","anime"
"83","Anime_Drum & Bass"
"84","Break Beat"
"85","Breakbeats"
"86","Chill Out"
"87","Chillstep"
"88","Classical"
"89","dance"
"90","DJMIX"
"91","Doutei"
"92","Downtempo"
"93","Drum&Bass"
"94","Drumstep"
"95","Electro Tech House"
"96","Folk_Pop"
"97","Funky House"
"98","GOSICK Step"
"99","Happy Hardcore"
"100","Hard House"
"101","Hip Hop"
"102","Indie"
"103","Indie_Rock"
"104","J-Pop"
"105","Jazz Pop"
"106","Jungle"
"107","Micro House"
"108","Modern Classic"
"109","Moombacore"
"110","Moombahcore"
"111","moombahton"
"112","Nerd"
"113","pop"
"114","Pop Alternative"
"115","pop_house"
"116","Ruxia"
"117","Sampling Sports"
"118","Singer_Songwriter"
"119","Trance"
"120","www.123musiq.com -  ｮ Riya collections ｮ"
"121","アンビエント"
"122","クラブ"
"123","これはひどい"
"124","ヒップホップ"
"125","ひなニー & もっクス"
"126","フォーク"
"127","ポップ"
"128","ロック"
"129","同人音楽"
