"","x"
"Rock",661
"Pop",627
"Classical",509
"Soundtrack",421
"none",320
"R&B",247
"ポップ",236
"ロック",129
"Spoken & Audio",126
"Alternative & Punk",119
"Other",103
"Books & Spoken",75
"Jazz",65
"JPop",55
"Easy Listening",40
"World",39
"Dance & House",36
"J-POP",32
"New Age",31
"吹奏楽",29
"その他",26
"Unclassifiable",16
"Traditional",15
"Metal",14
"Country & Folk",13
"Children's Music",12
"Latin",11
"クラシック",10
"サウンドトラック",10
"BGM",9
"Unknown",5
"Anime",3
"パンク",3
"146",2
"Hip Hop_Rap",2
"ｰAｰﾑｰoｰ･ｶ避妙鬲ｵ (2006_07_31 12:16:51)",1
"Children's",1
"J-Pop",1
"J-Pops",1
"Japanese Pop",1
"Punk",1
"Sound Clip",1
"インストゥルメンタルロック",1
"ゴシック",1
