"","x"
"1","Jazz"
"2","Rock"
"3","Post Rock"
"4","Guitarist"
"5","Soundtrack"
"6","UK Rock"
"7","Classical"
"8","Progressive Rock"
"9","Electronica"
"10","J-Pop"
"11","Jazz funk"
"12","Podcast"
"13","Mixture Rock"
"14","Books & Spoken"
"15","J-Rock"
"16","Classic"
"17","Alternative & Punk"
"18","Jazz Fusion"
"19","Hard Rock"
"20","Folk"
"21","World"
"22","Pop"
"23","R&B"
"24","Singer Songwriter"
"25","Fusion"
"26","Conposer"
"27","Minimal Music"
"28","Jam Rock"
"29","サウンドトラック"
"30","Cuban Jazz"
"31","Funk"
"32","Minimal"
"33"," jazz"
"34","Acoustic"
"35","Dance & House"
"36","Soul"
"37","Basist"
"38","none"
"39","Pianist"
"40","Shoegazer"
"41","Flamenco"
"42","Heavy Metal"
"43","Instrumental"
"44","POP"
"45","Techno Pop"
"46","Violinist"
"47","Alternative"
"48","教則cd"
"49","Acid Jazz"
"50","Afrique"
"51","Bagpiper"
"52","Bandoneonist"
"53","Conductor"
"54","General"
"55","General Alternative"
"56","Grunge Rock"
"57","Other"
"58","Punk"
"59","Vocal"
