"","x"
"1","none"
"2","Soundtrack"
"3","Spoken & Audio"
"4","Pop"
"5","Rock"
"6","その他"
"7","音声 (一般)"
"8","Books & Spoken"
"9","ポップ"
"10","Alternative & Punk"
"11","J-Pop"
"12","R&B"
"13","ロック"
"14","不明"
"15","VoiceActor"
"16","ドラマCD"
"17","サウンドトラック"
"18","Electronica"
"19","Unclassifiable"
"20","Other"
"21","ブルース"
"22","General Spoken"
"23","Others"
"24","DramaCD"
"25","Alternative"
"26","Classical"
"27","146"
"28","JPop"
"29","Rap"
"30","Screen Music(Sound Tracks)"
"31","Vocal Album"
"32","応援"
"33","歌ってみた"
