"","x"
"none",726
"Jazz",623
"Rock",505
"ロック",494
"Pop",306
"Classical",286
"ポップ",285
"Alternative & Punk",177
"ジャズ",137
"Latin",110
"R&B",104
"World",94
"New Age",90
"Podcast",66
"Unclassifiable",66
"Soundtrack",54
"Blues",50
"Easy Listening",43
"Spoken & Audio",42
"Traditional",34
"Other",33
"フォーク",33
"メタル",33
"クラシック",29
"Reggae",28
"Gospel & Religious",20
"Electronica_Dance",16
"Hip Hop_Rap",16
"J-Pop",14
"Rap",14
"サウンドトラック",13
"Alternative",12
"Indie Rock",12
"ラテン",12
"イージーリスニング",11
"Electronica",10
"Books & Spoken",8
"ミュージック",7
"Electronic",6
"Handbell",6
"その他",5
"Dance & House",4
"247",2
"soccer",2
" ",1
"Alternativo",1
"R&B_ソウル",1
"インストゥルメンタル",1
"エレクトロニック",1
"オルタナティブ",1
"ワールド",1
"歌謡曲",1
