"","x"
"none",1685
"Soundtrack",129
"Spoken & Audio",83
"その他",32
"音声 (一般)",32
"R&B",15
"不明",15
"Pop",14
"ポップ",13
"VoiceActor",12
"ドラマCD",12
"Unclassifiable",10
"ブルース",8
"Alternative & Punk",7
"General Spoken",7
"サウンドトラック",7
"ロック",5
"Books & Spoken",3
"DramaCD",3
"Classical",1
"Other",1
"歌ってみた",1
"146",0
"Album",0
"Alternative",0
"Classic",0
"Dance & House",0
"Electronica",0
"J-Pop",0
"JPop",0
"Others",0
"pops",0
"Rap",0
"Rock",0
"Screen Music(Sound Tracks)",0
"Vocal Album",0
"アニメ",0
"ボーカル",0
"ロボットヴォイスシャワーインスト",0
"応援",0
