"","x"
"none",53
"Pop",40
"Jazz",32
"ロック",27
"ポップ",18
"Alternative & Punk",17
"Domestic(J-Pops)",14
"Hip Hop_Jazz",14
"Rap",14
"Rock",13
"146",11
"Alternative Hip-Hop",9
"Dance & House",9
"ヒップホップ",9
"Classical",8
"R&B",8
"Alternative",7
"J-Pop",7
"Japanese",6
"Soundtrack",5
"ラップ & ヒップホップ",5
"Blues",4
"Easy Listening",3
"Electronica",3
"Electronica_Dance",3
"イージー リスニング (一般)",3
"エレクトロニック",3
"その他",3
"Alternative_Indie",2
"Jpop",2
"JPop",2
"Shibuya-kei",2
"Vocal Jazz",2
"ジャズ",2
"ブルース",2
"演歌",2
"148",1
"Class",1
"Country & Folk",1
"Hip Hop",1
"Hip Hop_Rap",1
"International",1
"JRock",1
"Other",1
"piano jazz",1
"Punk",1
"R&B_Soul_Funk_New Jack Swing",1
"Techno Pop",1
"Traditional",1
"World",1
"アニソン",1
"クラシック",1
"ダンス",1
"ハウス",1
"ボイスメモ",1
"メタル",1
"歌謡曲",1
"(なし)",0
"Anime",0
"Art-Rock",0
"Electronic",0
"free jazz",0
"genre",0
"Indie Rock",0
"J-Electronica_Dance",0
"J-Reggae",0
"Japanese Pop",0
"Japanese Rock",0
"Jazz_ Fusion",0
"JPop_JTek",0
"Jrock",0
"Minimalist",0
"MIT",0
"MIT Faculty Lectures",0
"Techno-pop",0
"オルタナティブ",0
"ダバダバディスクス",0
"不明",0
"分類不能",0
"宗教音楽",0
