"","x"
"1","Classical"
"2","none"
"3","Soundtrack"
"4","Jazz"
"5","New Age"
"6","Rock"
"7","Children's"
"8","Children's Music"
"9","Traditional"
"10","Game"
"11","サウンドトラック"
"12","Classique"
"13","Electronica_Dance"
"14","Other"
"15","オペラ"
"16","Unclassifiable"
"17","Contemporary Classical"
"18","Electronica"
"19","145"
"20","Indie Rock"
"21","R&B"
"22","classical"
"23","クラシック"
"24","World"
"25","soundtrack"
"26","Avantgarde _ Contemporary"
"27","Fredrik Ullén_ piano"
"28","Solo"
"29","Easy Listening"
"30","Folk"
"31","Opera"
"32","Alternative"
"33","Choral"
"34","Pop"
"35","Trombone Concerto"
"36","アバンギャルド"
"37","フォーク"
"38","Ambient"
"39","Latin"
"40","Podcast"
"41","Religious"
"42","アニメ"
"43","ボイスメモ"
"44","Avantgarde"
"45","Electronic"
"46","General Soundtrack"
"47","John Ogdon_ piano"
"48","Jonathan Powell_ piano"
"49","Minimalism"
"50","Misc."
"51","Mixed Genre"
"52","Orchestral"
"53","ショートーン"
"54","その他"
