"","x"
"Soundtrack",485
"none",136
"Electronica",135
"Rock",105
"Pop",57
"Dance & House",53
"Anime",13
"Electronic",11
"R&B",11
"Jazz",10
"ALTEMA Records",9
"Dubstep",9
"Other",9
"BASS",8
"POPS",8
"Soundtrack(Anime)",8
"つかさRecords",6
"Electronica_Dance",5
"Drum & Bass",4
"moeclick",4
"ワールド",4
"Dance",3
"Indie Rock",3
"J-POP",3
"Techno - General",3
"Bass",2
"Deep House",2
"Easy Listening",2
"Nerdstep",2
"Progressive House _ Trance - General",2
"Tech House - General",2
"アニメ",2
"エレクトロニック",2
"127",1
"Alternative",1
"Breakbeats",1
"dance",1
"House",1
"Modern Classic",1
"Self Healing",1
"Tech House",1
"Techno",1
"Touhou House",1
"TsukasaRecords",1
"クラブ",1
"ボイスメモ",1
"???",0
"????",0
"<Unknown>",0
"129",0
"145",0
"148",0
"255",0
"2step",0
"4x4 Bassline",0
"8 Bit",0
"Acid",0
"Acid House",0
"acoustic_ambient_electronica",0
"acoustic_electronica",0
"Agecore",0
"Alternative & Punk",0
"Alternative Rock",0
"Ambient",0
"Ambient Electronica",0
"anime",0
"Anime Soundtrack",0
"Anime_Drum & Bass",0
"Anime(J)",0
"Audiodrama",0
"BASSLINE",0
"Blues",0
"Break Beat",0
"Breakcore",0
"Broken Beat",0
"brostep",0
"Children's",0
"Chill Out",0
"Chillstep",0
"Chiptune",0
"CITY RAP",0
"Classical",0
"Cloud Rap",0
"Country",0
"D&B",0
"Dance & DJ",0
"Dance_Electro_House",0
"DJMIX",0
"Doujin",0
"Doutei",0
"Downtempo",0
"Drum'n'bass",0
"Drum&Bass",0
"Drumstep",0
"Drumstep_Halftime Dnb",0
"Dub",0
"Dub Techno",0
"Dub_Dubstep",0
"Dubstep _ Drumstep _ DnB",0
"Dutch House",0
"edit",0
"Edit",0
"Elect-LO-nica",0
"Electonica_Dance",0
"Electro",0
"ELECTRO",0
"Electro _ Edit",0
"Electro Disco",0
"Electro House",0
"Electro Tech House",0
"Electro-House",0
"Electrohouse",0
"Electronic Dance",0
"Electronica _ Dance",0
"elegantdisc",0
"Erectronica",0
"Experimental",0
"Fidget House",0
"Folk_Pop",0
"FRSH SLCTS",0
"Fryxell",0
"Funky House",0
"Game",0
"garage",0
"Garage",0
"German Trance",0
"Ghetto Funk",0
"GOSICK Step",0
"Grimestep",0
"Happy Hardcore",0
"Hard House",0
"Hard Techno",0
"Hardcore",0
"hardminimal",0
"Hello! Project",0
"Hip Hop",0
"Hip-Hop",0
"HipHop",0
"HIPHOP",0
"HIPHOP_GLITCH",0
"HIPHOP_RAP",0
"Holiday",0
"house",0
"HOUSE",0
"House - Deep",0
"IDM",0
"Indie",0
"Indie Dance _ Nu Disco",0
"Indie_Rock",0
"J-Core",0
"J-Garage",0
"J-Garage_Bassline",0
"J-Pop",0
"japanese newtown",0
"Jazz Pop",0
"Jpop",0
"Jungle",0
"Latin",0
"Loli",0
"LV4Records",0
"MarginalRec.",0
"Mash Up",0
"Mashup",0
"Micro House",0
"Minimal",0
"Minimal _ Click - General",0
"Minimal Techno",0
"Moemoe(J)",0
"Moombacore",0
"Moombahcore",0
"moombahton",0
"Nerd",0
"Nerdcore",0
"New Age",0
"Nu Disco",0
"Poetry Reading",0
"pop",0
"Pop Alternative",0
"pop_house",0
"pops",0
"Pops",0
"pops _electronica",0
"Poptronica",0
"Post-Dubstep",0
"Proglectro",0
"Progressive House",0
"Punk",0
"Rap",0
"Remix",0
"Ruxia",0
"Sampling Sports",0
"Singer_Songwriter",0
"Soundtrack ",0
"SPC",0
"Speedcore",0
"Techno_House",0
"Techno_House_Electro_Disco_RAVE_Acid_Urban_",0
"Techno-Industrial",0
"Tia-Licot",0
"tooncore",0
"Traditional",0
"Trance",0
"tribecore",0
"Tropical",0
"UK Garage",0
"UK Hardcore",0
"Unclassifiable",0
"Uplifting Trance",0
"Vocaloid",0
"World",0
"www.123musiq.com -  ｮ Riya collections ｮ",0
"yuritronica",0
"アシッド",0
"アンビエント",0
"エアロビクス",0
"エレクトロニカ",0
"グループサウンズ",0
"これはひどい",0
"その他",0
"ダンス",0
"ディスコ",0
"テクノ",0
"トランス",0
"ハウス",0
"ヒップホップ",0
"ひなニー & もっクス",0
"フォーク",0
"ブルース",0
"プログレッシブロック",0
"ベース",0
"ポップ",0
"ポップス",0
"まろやかツナ風味",0
"ロック",0
"俺",0
"同人音楽",0
"寝坊",0
"春のパン祭り",0
"画像フォルダの褐色娘が可愛かったので褐色少女トリビュート",0
"電気ギター音楽",0
"霊園地",0
