"","x"
"1","none"
"2","Alternative & Punk"
"3","Classical Solo Instrumental"
"4","Classical"
"5","Pop"
"6","Rock"
"7","ロック"
"8","Electronica_Dance"
"9","Jazz"
"10","Soundtrack"
"11","エレクトロニック"
"12","ブルース"
"13","Japanese"
"14","Jpop"
"15","J-Pop"
"16","Indie Rock"
"17","その他"
"18","Electronic"
"19","オルタナティブ"
"20","サウンドトラック"
"21","R&B"
"22","Indie"
"23","ポップ"
"24","ダンス"
"25","Alternative Rock"
"26","ジャズ"
"27","テクノ - インダストリアル"
"28","Alternative"
"29","Ambient"
"30","Hip Hop_Rap"
"31","Progressive Synth Pop"
"32","レゲエ"
"33","Other"
"34","Electronica"
"35","Unknown"
"36","ローファイ"
"37","145"
"38","Anime"
"39","Classic Rock"
"40","Japanese Album"
"41","Jazz+Funk"
"42","JRock"
"43","misc"
"44","Soul And R&B"
"45","ファンク"
"46","ボイスメモ"
"47","ロック (日本)"
"48","131"
"49","Alternative-Rock"
"50","Beats"
"51","Easy Listening"
"52","Fusion"
"53","Homage"
"54","J-POP"
"55","Jrock"
"56","Metal_ Alternative Metal"
"57","Post-Rock"
"58","Rock_Pop"
"59","Soul"
"60","Spoken & Audio"
"61","サイケデリックロック"
"62","ロック (一般)"
