"","x"
"1","none"
"2","Pop"
"3","Jazz"
"4","ロック"
"5","ポップ"
"6","Alternative & Punk"
"7","Domestic(J-Pops)"
"8","Hip Hop_Jazz"
"9","Rap"
"10","Rock"
"11","146"
"12","Alternative Hip-Hop"
"13","Dance & House"
"14","ヒップホップ"
"15","Classical"
"16","R&B"
"17","Alternative"
"18","J-Pop"
"19","Japanese"
"20","Soundtrack"
"21","ラップ & ヒップホップ"
"22","Blues"
"23","Easy Listening"
"24","Electronica"
"25","Electronica_Dance"
"26","イージー リスニング (一般)"
"27","エレクトロニック"
"28","その他"
"29","Alternative_Indie"
"30","Jpop"
"31","JPop"
"32","Shibuya-kei"
"33","Vocal Jazz"
"34","ジャズ"
"35","ブルース"
"36","演歌"
"37","148"
"38","Class"
"39","Country & Folk"
"40","Hip Hop"
"41","Hip Hop_Rap"
"42","International"
"43","JRock"
"44","Other"
"45","piano jazz"
"46","Punk"
"47","R&B_Soul_Funk_New Jack Swing"
"48","Techno Pop"
"49","Traditional"
"50","World"
"51","アニソン"
"52","クラシック"
"53","ダンス"
"54","ハウス"
"55","ボイスメモ"
"56","メタル"
"57","歌謡曲"
