"","playDate","genre","totalTime","playCount","trackName"
"1",NA,"iTunes U",5607641,0,"7-マイクロユビキタスノードとプロセッシング（1）"
"2",NA,"iTunes U",5490991,0,"6-実世界センシング（2）"
"3",NA,"iTunes U",5105506,0,"5-実世界センシング（1）【補講：10月18日休講分】"
"4",NA,"iTunes U",5075943,0,"4-ユビキタスコンピューティングシステムの構成要素（3）"
"5",2012-04-13 08:39:50,"iTunes U",5756190,1,"8-Guest Lecture"
"6",2012-10-09 04:54:52,"Latin",272893,1,"Avarandado"
"7",NA,"Rock",253000,0,"Sunshine Of Your Love"
"8",NA,"Rock",310733,0,"Toad"
"9",NA,"Rock",239333,0,"I'm So Glad"
"10",NA,"Rock",169866,0,"Strange Brew"
"11",NA,"Rock",121400,0,"Lawdy Mama [Version 1 Previously Unreleased]"
"12",2012-10-07 20:07:09,"Pop",234933,1,"Up"
"13",2012-10-07 20:03:14,"Pop",202626,1,"Eenie Meenie"
"14",2012-10-07 19:59:51,"Pop",251186,1,"Overboard"
"15",2012-10-07 19:55:40,"Pop",264400,1,"Never Let You Go"
"16",NA,"iTunes U",3878545,0,"新成長戦略とグリーンイノベーション"
"17",NA,"iTunes U",1962462,0,"「良い境界、よくない境界、活かす方法、なくす方法」〜空間情報からの発想"
"18",NA,"iTunes U",4706807,0,"空間情報とメディア創造"
"19",NA,"Indie Rock",275800,0,"Morning Bell"
"20",NA,"Indie Rock",419466,0,"Motion Picture Soundtrack"
"21",NA,"Indie Rock",284400,0,"Airbag"
"22",NA,"Indie Rock",383493,0,"Paranoid Android"
"23",NA,"Indie Rock",267706,0,"Subterranean Homesick Alien"
"24",NA,"Latin",184400,0,"Eclipse"
"25",2012-07-02 21:12:49,"Voice Memo",4340,1,"3/1/12 21:54 "
"26",NA,"Voice Memo",2552,0,"3/1/12 21:54 "
"27",NA,"Voice Memo",269605,0,"3/7/12 8:46 "
"28",2012-05-29 18:40:28,"Rock",113813,44,"Back In The U.S.S.R."
"29",NA,"Rock",308893,0,"Sometimes You Can't Make It On Your Own"
"30",2012-05-29 18:38:34,"Rock",134826,19,"Revolution"
"31",2012-05-29 18:36:19,"Rock",285306,22,"Come Together/Dear Prudence/Cry Baby Cry [Transition]"
"32",2012-05-29 18:31:34,"Rock",258053,22,"Here Comes The Sun/The Inner Light [Transition]"
"33",2012-05-29 18:27:15,"Rock",176680,19,"Lady Madonna"
"34",2012-08-24 22:30:51,"Indie Rock",228733,4,"In My Place"
"35",2012-08-24 21:41:26,"Indie Rock",297306,3,"God Put A Smile Upon Your Face"
"36",NA,"Indie Rock",342040,0,"For You"
"37",2012-08-24 22:26:52,"Indie Rock",318626,4,"Politik"
"38",2012-09-26 20:09:43,"Pop",183840,13,"Creepin' In"
"39",2012-08-24 21:46:35,"Indie Rock",309160,3,"The Scientist"
"40",2012-09-26 20:13:29,"Pop",226493,17,"Toes"
"41",2012-10-08 02:22:40,"Rock",253933,3,"I'll Go Crazy If I Don't Go Crazy Tonight"
"42",NA,"Rock",290600,0,"Love And Peace Or Else"
"43",2012-09-26 20:18:06,"Pop",276466,17,"Humble Me"
"44",2012-09-26 20:21:49,"Pop",223840,16,"Above Ground"
"45",NA,"Voice Memo",61276,0,"6/4/12 18:09 "
"46",2012-10-09 06:29:11,"Pop",214680,2,"Happy Pills"
"47",NA,"Indie Rock",234106,0,"Just"
"48",2012-10-09 06:19:00,"Pop",179906,2,"4 Broken Hearts"
"49",2012-10-09 06:22:07,"Pop",186773,2,"Travelin' On"
"50",2012-10-09 06:25:36,"Pop",208853,2,"Out On The Road"
"51",2012-05-17 01:48:11,"Alternative",300026,5,"Burn"
"52",2012-03-11 20:25:12,"Alternative",373333,1,"Hurt"
"53",2012-02-06 22:52:05,"Alternative",243453,1,"Piggy (Nothing Can Stop Me Now)"
"54",2012-03-11 20:55:15,"Alternative",436546,3,"Closer (Precursor)"
"55",2012-02-06 22:56:08,"Alternative",64106,1,"A Violet Fluid"
"56",NA,"Spoken & Audio",1389093,0,"花見の仇討"
"57",NA,"Spoken & Audio",1156133,0,"五目講釈"
"58",NA,"Spoken & Audio",1223240,0,"星野屋"
"59",NA,"Rock",310266,0,"Politician [Live At Oakland]"
"60",2012-07-22 01:50:30,"Alternative",164133,2,"Hit The Floor"
"61",NA,"Rap",253133,0,"Bad Meets Evil"
"62",2012-06-15 21:47:32,"Pop",231800,9,"Candle In The Wind (Acoustic)"
"63",2012-07-23 12:25:54,"Jazz",292106,1,"I Want To Be Happy"
"64",2012-03-29 12:33:07,"Pop",282573,6,"Screw You (Young Man Blues)"
"65",2012-07-23 12:21:02,"Jazz",221600,1,"Anna"
"66",2012-03-29 12:24:20,"Pop",110973,7,"Jack Rabbit"
"67",NA,"Podcast",2419565,0,"Episode 25 – US visas/ retina screens and art for non-artists"
"68",2012-03-29 12:19:36,"Pop",172306,6,"Whenever You're Ready (We'll Go Steady)"
"69",2012-07-23 12:28:29,"Jazz",155093,1,"Smile"
"70",NA,"Indie Rock",222960,0,"Sulk"
"71",2012-09-26 19:44:26,"Pop",200626,24,"Sunrise"
"72",2012-05-17 00:31:59,"Country & Folk",179000,6,"Tell Me Why"
"73",NA,"Rock",62200,0,"Falstaff Beer Commercial"
"74",NA,"Podcast",897048,0,"9月1日 夜7時NHKきょうのニュース"
"75",NA,"Latin",176173,0,"Não Vou Para Casa"
"76",2012-08-07 00:17:41,"Indie Rock",137160,12,"Don't Panic"
"77",NA,"News",897012,0,"8月22日 正午のニュース"
"78",NA,"News",3508992,0,"8月23日 夜10時NHKジャーナル"
"79",NA,"Rock",381000,0,"White Room [Live At Oakland]"
"80",2012-08-31 13:35:48,"none",799,1,"bar"
"81",NA,"Latin",234933,0,"Desde Que O Samba É Samba"
"82",2012-03-28 01:02:07,"Country & Folk",174493,11,"Love Again"
"83",NA,"Latin",176360,0,"Voçê Vai Ver"
"84",2012-07-26 03:47:09,"Electronica",415906,11,"Iambic 9 Poetry"
"85",2012-05-16 23:28:11,"none",493266,1,"PLACE TO BE"
"86",2012-09-18 00:23:33,"Traditional",421626,1,"『大山詣り』 遭難の報告"
"87",2012-05-16 22:57:02,"none",458640,1,"How Insensitive"
"88",2012-09-14 12:31:23,"Pop",319866,4,"根っこ"
"89",2012-05-16 22:42:36,"none",782853,1,"Do Mo (Children's Song "
"90",2012-05-16 23:19:52,"none",898946,1,"Old Castle/ By The River/ In The Middle Of Forest"
"91",2012-05-16 23:04:53,"none",471186,1,"Humpty Dumpty"
"92",NA,"Indie Rock",183733,0,"Killer Cars"
"93",NA,"Indie Rock",277133,0,"My Iron Lung"
"94",2012-05-13 19:37:06,"Jazz",418026,29,"Waltz For Debby (Take 2)"
"95",NA,"Indie Rock",262266,0,"How Can You Be Sure?"
"96",NA,"Blues",471600,0,"Layla"
"97",2012-05-13 20:40:42,"Jazz",299533,28,"My Foolish Heart"
"98",2012-07-06 11:40:25,"Blues",266293,1,"Too Bad"
"99",2012-05-13 23:38:38,"Blues",270720,2,"Tears In Heaven"
"100",2012-09-18 15:18:24,"Pop",223800,4,"津軽海峡・冬景色"
"101",2012-08-26 03:06:42,"Alternative",231680,10,"Waiting For The End"
"102",NA,"Rock",180066,0,"Is That All?"
"103",NA,"Rock",172200,0,"Scarlet"
"104",NA,"Rock",237866,0,"Stranger in a Strange Land"
"105",NA,"Rock",242600,0,"With a Shout"
"106",2012-07-26 04:04:56,"Electronica",89613,11,"C-Town Smash"
"107",2012-08-26 03:02:50,"Alternative",94906,9,"Jornada Del Muerto"
"108",2012-09-14 21:43:44,"Traditional",2775866,1,"帯久"
"109",2012-08-26 03:01:15,"Alternative",268986,10,"Robot Boy"
"110",NA,"Country & Folk",162386,0,"Song To Woody"
"111",2012-03-15 03:14:39,"Country & Folk",335533,10,"Ballad Of Frankie Lee And Judas Priest"
"112",NA,"Country & Folk",138666,0,"Freight Train Blues"
"113",NA,"Rock",314026,0,"Take It To The Limit"
"114",2012-07-13 01:10:29,"Pop",248466,1,"炎熱の月明かり"
"115",NA,"Rock",321066,0,"Wasted Time"
"116",NA,"Country & Folk",164173,0,"See That My Grave Is Kept Clean"
"117",2012-05-17 01:55:37,"Rock",234066,1,"Seven Bridges Road"
"118",2012-01-20 06:31:18,"Country & Folk",256306,7,"I Pity The Poor Immigrant"
"119",2012-07-13 01:35:36,"Pop",280826,1,"SINGING ROCKET"
"120",2012-08-26 02:56:46,"Alternative",295600,11,"When They Come For Me"
"121",2012-05-13 21:59:34,"Rock",237773,6,"Desperado"
"122",2012-09-10 01:58:47,"Traditional",283800,2,"『愛宕山』 小判投げ"
"123",2012-10-07 20:11:01,"Pop",232733,1,"That Should Be Me"
"124",2012-09-10 02:02:56,"Traditional",249040,1,"『愛宕山』 落下"
"125",2012-09-19 16:16:30,"Rock",289973,40,"Peaches & Diesel"
"126",2012-04-03 05:26:56,"Indie Rock",271280,14,"another psychdelic point remix / DRITT DRITTEL"
"127",2012-03-04 23:10:30,"Indie Rock",281160,8,"Kawatolius remix / Kawatory"
