"","x"
"none",1986
"Soundtrack",1851
"Electronica",907
"Rock",542
"Pop",490
"Dance & House",441
"Electronic",130
"Electronica_Dance",113
"Indie Rock",113
"Other",88
"ALTEMA Records",81
"Game",71
"Easy Listening",67
"Classical",60
"Soundtrack(Anime)",59
"R&B",58
"Dance",57
"その他",54
"Dubstep",49
"Alternative",43
"J-POP",39
"Latin",36
"Alternative & Punk",35
"Anime",34
"Jazz",33
"Techno",33
"Bass",30
"つかさRecords",28
"Experimental",27
"Hello! Project",27
"House",27
"Blues",26
"Punk",22
"Rap",22
"japanese newtown",21
"Indie Dance _ Nu Disco",19
"FRSH SLCTS",18
"MarginalRec.",18
"Tech House",18
"Drum & Bass",17
"Elect-LO-nica",17
"Jpop",16
"Nerdstep",16
"Progressive House",16
"ハウス",16
"Children's",15
"BASS",14
"Minimal _ Click - General",14
"Modern Classic",14
"Techno_House_Electro_Disco_RAVE_Acid_Urban_",14
"Tia-Licot",14
"Traditional",14
"World",14
"Chiptune",13
"Loli",13
"Country",12
"Deep House",12
"Electro House",12
"moeclick",12
"Unclassifiable",12
"ボイスメモ",12
"8 Bit",11
"IDM",11
"New Age",11
"エレクトロニック",11
"255",10
"Holiday",10
"Minimal",9
"Sampling Sports",9
"テクノ",9
"Audiodrama",8
"Hardcore",8
"POPS",8
"Electro",7
"J-Pop",7
"TsukasaRecords",7
"DJMIX",6
"Dub",6
"edit",6
"ブルース",6
"Doutei",5
"Dubstep _ Drumstep _ DnB",5
"Funky House",5
"Remix",5
"Techno - General",5
"Tropical",5
"アシッド",5
"Agecore",4
"Ambient",4
"Dance & DJ",4
"Dub_Dubstep",4
"Happy Hardcore",4
"J-Garage",4
"Nu Disco",4
"Speedcore",4
"アンビエント",4
"エレクトロニカ",4
"ワールド",4
"???",3
"????",3
"Acid",3
"Anime(J)",3
"BASSLINE",3
"Doujin",3
"Drum'n'bass",3
"German Trance",3
"Hip-Hop",3
"House - Deep",3
"Nerd",3
"Progressive House _ Trance - General",3
"Tech House - General",3
"Touhou House",3
"クラブ",3
"<Unknown>",2
"127",2
"4x4 Bassline",2
"Breakbeats",2
"Chill Out",2
"elegantdisc",2
"Fryxell",2
"Grimestep",2
"HIPHOP_RAP",2
"house",2
"Mash Up",2
"Mashup",2
"Moemoe(J)",2
"Pops",2
"Poptronica",2
"Ruxia",2
"Self Healing",2
"Techno_House",2
"Trance",2
"アニメ",2
"ヒップホップ",2
"ポップ",2
"129",1
"145",1
"148",1
"2step",1
"Acid House",1
"acoustic_ambient_electronica",1
"acoustic_electronica",1
"Alternative Rock",1
"Ambient Electronica",1
"anime",1
"Anime Soundtrack",1
"Anime_Drum & Bass",1
"Break Beat",1
"Breakcore",1
"Broken Beat",1
"brostep",1
"Chillstep",1
"CITY RAP",1
"Cloud Rap",1
"D&B",1
"dance",1
"Dance_Electro_House",1
"Downtempo",1
"Drum&Bass",1
"Drumstep",1
"Drumstep_Halftime Dnb",1
"Dub Techno",1
"Dutch House",1
"Edit",1
"Electonica_Dance",1
"ELECTRO",1
"Electro _ Edit",1
"Electro Disco",1
"Electro Tech House",1
"Electro-House",1
"Electrohouse",1
"Electronic Dance",1
"Electronica _ Dance",1
"Erectronica",1
"Fidget House",1
"Folk_Pop",1
"garage",1
"Garage",1
"Ghetto Funk",1
"GOSICK Step",1
"Hard House",1
"Hard Techno",1
"hardminimal",1
"Hip Hop",1
"HipHop",1
"HIPHOP",1
"HIPHOP_GLITCH",1
"HOUSE",1
"Indie",1
"Indie_Rock",1
"J-Core",1
"J-Garage_Bassline",1
"Jazz Pop",1
"Jungle",1
"LV4Records",1
"Micro House",1
"Minimal Techno",1
"Moombacore",1
"Moombahcore",1
"moombahton",1
"Nerdcore",1
"Poetry Reading",1
"pop",1
"Pop Alternative",1
"pop_house",1
"pops",1
"pops _electronica",1
"Post-Dubstep",1
"Proglectro",1
"Singer_Songwriter",1
"Soundtrack ",1
"SPC",1
"Techno-Industrial",1
"tooncore",1
"tribecore",1
"UK Garage",1
"UK Hardcore",1
"Uplifting Trance",1
"Vocaloid",1
"www.123musiq.com -  ｮ Riya collections ｮ",1
"yuritronica",1
"エアロビクス",1
"グループサウンズ",1
"これはひどい",1
"ダンス",1
"ディスコ",1
"トランス",1
"ひなニー & もっクス",1
"フォーク",1
"プログレッシブロック",1
"ベース",1
"ポップス",1
"まろやかツナ風味",1
"ロック",1
"俺",1
"同人音楽",1
"寝坊",1
"春のパン祭り",1
"画像フォルダの褐色娘が可愛かったので褐色少女トリビュート",1
"電気ギター音楽",1
"霊園地",1
