"","x"
"1","Soundtrack"
"2","none"
"3","Electronica"
"4","Rock"
"5","Pop"
"6","Dance & House"
"7","Anime"
"8","Electronic"
"9","R&B"
"10","Jazz"
"11","ALTEMA Records"
"12","Dubstep"
"13","Other"
"14","BASS"
"15","POPS"
"16","Soundtrack(Anime)"
"17","つかさRecords"
"18","Electronica_Dance"
"19","Drum & Bass"
"20","moeclick"
"21","ワールド"
"22","Dance"
"23","Indie Rock"
"24","J-POP"
"25","Techno - General"
"26","Bass"
"27","Deep House"
"28","Easy Listening"
"29","Nerdstep"
"30","Progressive House _ Trance - General"
"31","Tech House - General"
"32","アニメ"
"33","エレクトロニック"
"34","127"
"35","Alternative"
"36","Breakbeats"
"37","dance"
"38","House"
"39","Modern Classic"
"40","Self Healing"
"41","Tech House"
"42","Techno"
"43","Touhou House"
"44","TsukasaRecords"
"45","クラブ"
"46","ボイスメモ"
