"","x"
"1","Rock"
"2","Pop"
"3","Soundtrack"
"4","Classical"
"5","ポップ"
"6","none"
"7","R&B"
"8","ロック"
"9","Alternative & Punk"
"10","JPop"
"11","World"
"12","Dance & House"
"13","Jazz"
"14","Spoken & Audio"
"15","J-POP"
"16","Other"
"17","Books & Spoken"
"18","その他"
"19","吹奏楽"
"20","Easy Listening"
"21","New Age"
"22","Country & Folk"
"23","Children's Music"
"24","Latin"
"25","Unknown"
"26","サウンドトラック"
"27","Anime"
"28","BGM"
"29","Unclassifiable"
"30","クラシック"
"31","パンク"
"32","146"
"33","Hip Hop_Rap"
"34","Traditional"
"35","J-Pop"
"36","J-Pops"
"37","Japanese Pop"
"38","Metal"
"39","Sound Clip"
"40","インストゥルメンタルロック"
"41","ゴシック"
