,sortedIml...1.,sortedIml...6.,sortedIml...2.,genreRank,timeID,sortedIml...7.
1,2012-04-03 17:33:59,『バッハの旋律を夜に聴いたせいです。』,none,6,65,album
2,2012-04-05 11:01:25,やさしさに包まれたなら,World,14,107,ユーミン・ツインベスト [Disc 1]
3,2012-04-05 16:11:49,We Both Reached For The Gun,Soundtrack,3,112,Chicago
4,2012-04-09 08:21:13,Won't Be Long,Pop,2,32,ユア・リクエスト [Disc 4]
5,2012-04-09 08:48:33,Old Brown Shoe,Rock,1,32,Past Masters_ Vol. 2 [2009 Stereo Remaster]
6,2012-04-09 08:58:49,On Green Dolphin Street,Jazz,13,32,Modern Jazz Greatest Hits 1
7,2012-04-09 09:03:16,On The Other Side,Pop,2,33,Ultimate Best ～Best Of Janis Ian For Japan～
8,2012-04-09 09:10:43,ONE DAY,Rock,1,33,TOP OF THE POPS [Disc 2]
9,2012-04-09 09:25:05,One Of These Days,Rock,1,33,Shaman
10,2012-04-09 09:29:02,One Of Us,ポップ,7,33,Gold
11,2012-04-09 10:05:58,波乗りジョニー,Rock,1,34,TOP OF THE POPS [Disc 1]
12,2012-04-09 10:17:31,フォーレ: レクイエム_ ピエ・イエス,Classical,4,34,どこかで聴いたクラシックベスト101 PART2 [Disc 1] テレビで聴いたクラシック
13,2012-04-10 06:53:54,夢人,ポップ,7,54,ИATURAL
14,2012-04-10 07:04:55,涙2 (LOVEヴァージョン),ロック,8,55,決定版! 爆風スランプ大全集
15,2012-04-10 07:53:29,雲は白リンゴは赤,JPop,10,55,彼女
16,2012-04-10 08:29:13,喜歌劇「小鳥売り」セレクション,吹奏楽,17,56,album
17,2012-04-11 08:04:03,DADA (dadadada Ver.),Rock,1,80,絶体絶命
18,2012-04-11 08:26:39,手紙,ポップ,7,80,青春歌年鑑 70年代総集編 [Disc 1]
19,2012-04-11 08:29:29,DANCE2,ロック,8,80,ORANGE RANGE
20,2012-04-12 09:05:27,アニマロッサ,Pop,2,105,∠TRIGGER
21,2012-04-12 09:14:46,遠恋,J-POP,16,105,RADWIMPS4〜おかずのごはん〜
22,2012-04-12 09:18:59,卒業写真,World,14,105,ユーミン・ツインベスト [Disc 2]
23,2012-04-12 09:41:14,04_サウダージ,none,6,105,PORNO GRAFFITTI BEST RED'S
24,2012-04-12 09:57:24,ダンス10ルックス3,none,6,105,コーラスライン
25,2012-04-12 11:28:12,夏の決心,Children's Music,22,107,ポンキッキーズ・メロディ
26,2012-04-12 11:46:57,メリーアン,Pop,2,107,ユア・リクエスト [Disc 1]
27,2012-04-12 11:59:04,親愛なるあなたへ...,J-POP,16,107,GOLDEN ROAD ｪ`BESTｪ`
28,2012-04-12 12:04:28,可愛いミーナ,Rock,1,108,TOP OF THE POPS [Disc 1]
29,2012-04-12 12:35:44,哀しみのプリズナー,Rock,1,108,TOP OF THE POPS [Disc 1]
30,2012-04-12 13:03:16,恋におちて -Fall In Love-,Pop,2,109,ユア・リクエスト [Disc 1]
31,2012-04-12 13:54:26,One Song Glory,Soundtrack,3,109,Rent
32,2012-04-12 14:18:02,飾りじゃないのよ涙は,Pop,2,110,ユア・リクエスト [Disc 3]
33,2012-04-12 14:28:53,青春のリグレット,Pop,2,110,Neue Musik [Disc 1]
34,2012-04-12 15:38:03,祭男爵,Rock,1,111,musiQ
35,2012-04-12 15:42:20,或る街の群青,Rock,1,111,ワールド ワールド ワールド
36,2012-04-12 15:46:06,ドラマティック・レイン,Pop,2,111,ユア・リクエスト [Disc 3]
37,2012-04-12 16:22:11,クリシェ,Pop,2,112,∠TRIGGER
38,2012-04-12 16:26:06,Oh!サマー,ポップ,7,112,SUMMER PLAN
39,2012-04-12 16:47:25,ルビーの指環,ポップ,7,112,青春歌年鑑 80年代総集編 [Disc 1]
40,2012-04-12 16:52:07,スリル,Rock,1,112,HOTEI GREATEST HITS 1990-1999
