,sortedIml...1.,sortedIml...6.,sortedIml...2.,genreRank,timeID,sortedIml...7.
1,2012-04-04 17:10:42,AIMS,Jam Rock,14,89,Good morning
2,2012-04-04 18:12:53,Lejania,Cuban Jazz,10,90,El Piano Que Llevo Dentro
3,2012-04-04 18:17:16,Tumbao del Feo,Cuban Jazz,10,90,El Piano Que Llevo Dentro
4,2012-04-07 18:30:55,Bye Bye Blackbird,Jazz,1,162,'Round About Midnight
5,2012-04-07 18:35:23,Tadd's Delight,Jazz,1,162,'Round About Midnight
6,2012-04-07 18:43:15,Dear Old Stockholm,Jazz,1,162,'Round About Midnight
7,2012-04-07 18:46:59,Two Bass Hit [*],Jazz,1,162,'Round About Midnight
8,2012-04-07 18:56:12,Line up,Jazz,1,162,Lennie Tristano
9,2012-04-07 19:01:05,Requiem,Jazz,1,163,Lennie Tristano
10,2012-04-15 22:49:22,Ornithology,Jazz,1,22,Complete Live At The Rockland Palace
11,2012-04-15 22:51:16,Easy To Love (I),Jazz,1,22,Complete Live At The Rockland Palace
12,2012-04-15 22:53:52,Just Friends (I),Jazz,1,22,Complete Live At The Rockland Palace
13,2012-04-15 22:57:38,Dancing In The Dark,Jazz,1,22,Complete Live At The Rockland Palace
14,2012-04-15 23:01:20,April In Paris,Jazz,1,23,Complete Live At The Rockland Palace
15,2012-04-15 23:06:41,52nd Street Theme [I],Jazz,1,23,Complete Live At The Rockland Palace
16,2012-04-15 23:45:24,Stella by Starlight,Jazz,1,23,Charlie Parker with Strings - The Master Takes
17,2012-04-16 23:46:58,The Way You Look Tonight,Jazz,1,47,Thelonious Monk And Sonny Rollins
18,2012-04-16 23:54:40,I Want To Be Happy,Jazz,1,47,Thelonious Monk And Sonny Rollins
19,2012-04-17 08:47:24,Work,Jazz,1,56,Thelonious Monk And Sonny Rollins
20,2012-05-07 18:21:04,Little cry for him (Chorinho pra ele),Jazz,1,42,Slaves Mass
21,2012-05-14 09:13:55,My Romance (1),Jazz,1,33,Waltz for Debby
22,2012-05-14 18:16:28,糸,Singer Songwriter,15,42,大銀幕
23,2012-05-14 22:29:49,But Beautiful,Jazz,1,46,Stan Getz & Bill Evans
24,2012-05-14 22:36:32,Funkallero,Jazz,1,46,Stan Getz & Bill Evans
25,2012-05-14 22:45:13,My Heart Stood Still,Jazz,1,46,Stan Getz & Bill Evans
26,2012-05-14 22:50:20,Melinda,Jazz,1,46,Stan Getz & Bill Evans
27,2012-05-14 22:58:42,Carpetbagger's Theme,Jazz,1,46,Stan Getz & Bill Evans
28,2012-05-14 23:01:35,Wnew (Theme Song),Jazz,1,47,Stan Getz & Bill Evans
29,2012-05-14 23:08:24,My Heart Stood Still (alt.take),Jazz,1,47,Stan Getz & Bill Evans
30,2012-05-14 23:14:00,Grandfather's Waltz (alt.take),Jazz,1,47,Stan Getz & Bill Evans
31,2012-05-14 23:20:34,Night And Day (alt.take),Jazz,1,47,Stan Getz & Bill Evans
32,2012-05-18 09:02:12,Caravan,Jazz,1,129,Masterpieces 1926 - 1949 _2 - In A Sentimental Mood
33,2012-05-18 13:21:08,Haunted Heart,Jazz,1,133,Explorations
34,2012-05-18 13:26:10,Beautiful Love (Take 2),Jazz,1,133,Explorations
35,2012-05-18 13:34:38,I Mean You,Jazz,1,133,Plays Monk
36,2012-05-18 13:40:25,Criss Cross,Jazz,1,133,Plays Monk
37,2012-05-18 13:46:35,'Round Midnight,Jazz,1,133,Plays Monk
38,2012-05-18 13:53:55,Bemsha Swing,Jazz,1,133,Plays Monk
39,2012-05-18 13:57:56,Rhythm-A-Ning,Jazz,1,133,Plays Monk
40,2012-05-18 14:04:33,In Walked Bud,Jazz,1,134,Plays Monk
41,2012-05-18 14:08:37,Little Rootie Tootie,Jazz,1,134,Plays Monk
42,2012-05-18 14:13:33,Eronel,Jazz,1,134,Plays Monk
43,2012-05-18 14:18:35,Evidence,Jazz,1,134,Plays Monk
44,2012-05-18 14:25:15,Crepscule With Nellie,Jazz,1,134,Plays Monk
45,2012-05-19 08:42:17,Max-O-Man,Fusion,12,152,The Best Of Fourplay
46,2012-05-19 08:48:12,101 Eastbound,Fusion,12,152,The Best Of Fourplay
47,2012-05-22 12:25:00,丸の内サディスティック,Rock,6,60,無罪モラトリアム
48,2012-05-28 12:56:59,The More I See You,Jazz,1,36,It Could Happen To You
49,2012-05-28 13:06:15,Piano Black,Soundtrack,3,37,Cowboy Bebop OST 1
50,2012-05-31 20:14:37,A Time For love (Alternate Take),Jazz,1,116,Alone
51,2012-06-01 13:39:42,Swingset,Jazz,1,133,Joy Ride
52,2012-06-01 13:44:20,Joy Ride,Jazz,1,133,Joy Ride
53,2012-06-01 13:57:23,Bao Tana,Jazz,1,133,Live At The Stockholm Concerthouse CD1
54,2012-06-04 16:07:19,Alice in Wonderland (take 1),Jazz,1,40,Sunday at the Village Vanguard
55,2012-06-04 16:36:09,In The Garden,Jazz,1,40,One
56,2012-06-04 16:42:57,Song-Song,Jazz,1,40,The Art Of The Trio_ Vol. 3: Songs
57,2012-06-04 16:49:05,Unrequited,Jazz,1,40,The Art Of The Trio_ Vol. 3: Songs
58,2012-06-04 16:55:03,Bewitched_ Bothered And Bewildered,Jazz,1,40,The Art Of The Trio_ Vol. 3: Songs
59,2012-06-04 16:59:26,Exit Music (For A Film),Jazz,1,40,The Art Of The Trio_ Vol. 3: Songs
60,2012-06-04 17:05:47,At A Loss,Jazz,1,41,The Art Of The Trio_ Vol. 3: Songs
61,2012-06-04 17:11:43,Convalescent,Jazz,1,41,The Art Of The Trio_ Vol. 3: Songs
62,2012-06-04 17:19:46,For All We Know,Jazz,1,41,The Art Of The Trio_ Vol. 3: Songs
