,sortedIml...1.,sortedIml...6.,sortedIml...2.,genreRank,timeID,sortedIml...7.
1,2012-04-01 13:08:14,ひとくちアドヴァイス3,Pop,2,13,Karaokes And Stack-O-Tracks(Nonsales)
2,2012-04-01 13:13:11,ひとくちアドヴァイス4,Pop,2,13,Karaokes And Stack-O-Tracks(Nonsales)
3,2012-04-01 13:18:37,スーパースター(カラオケ),Pop,2,13,Karaokes And Stack-O-Tracks(Nonsales)
4,2012-04-01 13:19:53,ひとくちアドヴァイス5,Pop,2,13,Karaokes And Stack-O-Tracks(Nonsales)
5,2012-04-01 13:29:26,ひとくちアドヴァイス6,Pop,2,13,Karaokes And Stack-O-Tracks(Nonsales)
6,2012-04-01 13:34:10,ロックン・ロール,Pop,2,13,BOSSA NOVA 2001
7,2012-04-01 13:41:29,マジック・カーペット・ライド,Pop,2,13,BOSSA NOVA 2001
8,2012-04-01 13:45:35,ソフィスティケイテッド・キャッチー,Pop,2,13,BOSSA NOVA 2001
9,2012-04-01 13:50:21,ピース・ミュージック,Pop,2,13,BOSSA NOVA 2001
10,2012-04-01 13:53:58,ストロベリィ・スレイランド,Pop,2,13,BOSSA NOVA 2001
11,2012-04-01 13:57:57,スリーパー,Pop,2,13,BOSSA NOVA 2001
12,2012-04-01 14:01:40,優しい木曜日,Pop,2,14,BOSSA NOVA 2001
13,2012-04-01 14:05:31,レイン・ソング,Pop,2,14,BOSSA NOVA 2001
14,2012-04-01 14:10:46,ゴー・ゴー・ダンサー,Pop,2,14,BOSSA NOVA 2001
15,2012-04-01 14:13:13,皆既日食,Pop,2,14,BOSSA NOVA 2001
16,2012-04-01 14:16:43,愛の神話,Pop,2,14,BOSSA NOVA 2001
17,2012-04-01 14:20:07,ハレルヤ・ハレクリシュナ,Pop,2,14,BOSSA NOVA 2001
18,2012-04-01 18:46:46,春日局,Classical,3,18,NHK大河ドラマ主題曲集 [Disc 2]
19,2012-04-01 18:49:25,翔ぶが如く,Classical,3,18,NHK大河ドラマ主題曲集 [Disc 2]
20,2012-04-01 18:52:59,秀吉,Classical,3,18,NHK大河ドラマ主題曲集 [Disc 2]
21,2012-04-01 21:23:05,利家とまつ ～加賀百万石物語～,Classical,3,21,NHK大河ドラマ主題曲集 [Disc 2]
22,2012-04-01 21:35:16,ヘミソフィア,Soundtrack,5,21,everywhere [Disc 1]
23,2012-04-10 17:56:58,ひとくちアドヴァイス2,Pop,2,65,Karaokes And Stack-O-Tracks(Nonsales)
24,2012-04-13 16:54:37,天と地と[オープニング・テーマ～甲斐の軍勢～越後の雪],New Age,14,136,新日本紀行・冨田勲の音楽
25,2012-04-13 17:05:31,天と地と,Classical,3,137,NHK大河ドラマ主題曲集 [Disc 1]
26,2012-04-16 21:12:55,Sensuous,Indie Rock,8,45,Sensuous
27,2012-04-16 21:16:54,Fit Song,Indie Rock,8,45,Sensuous
