,sortedIml...1.,sortedIml...6.,sortedIml...2.,genreRank,timeID,sortedIml...7.
1,2012-04-06 00:22:18,絶対値対相対値,Rock,2,120,大発見
2,2012-04-06 17:48:48,KissHug,Pop,1,137,まとめ II
3,2012-04-06 17:54:26,アンドロメダ,Pop,1,137,まとめ II
4,2012-04-06 17:59:34,キラキラ,Pop,1,137,まとめ II
5,2012-04-11 21:22:53,Steppin' To The Bad Side (Highlights Version),Soundtrack,3,93,Dreamgirls
6,2012-04-11 21:25:43,Love You I Do,Soundtrack,3,93,Dreamgirls
7,2012-04-11 21:28:37,I Want You Baby,Soundtrack,3,93,Dreamgirls
8,2012-04-16 00:36:58,That's What I Think,Pop,1,24,Twelve Deadly Cyns ...And Then Some [Japan]
9,2012-04-16 00:40:44,Sally's Pigeons,Pop,1,24,Twelve Deadly Cyns ...And Then Some [Japan]
10,2012-04-16 00:44:35,Hey Now (Girls Just Want To Have Fun),Pop,1,24,Twelve Deadly Cyns ...And Then Some [Japan]
11,2012-04-21 03:45:59,A House Is Not A Home,Pop,1,147,Glee: The Music_ Volume 3 Showstoppers
12,2012-04-21 03:50:44,One Less Bell To Answer _ A House Is Not A Home,Pop,1,147,Glee: The Music_ Volume 3 Showstoppers
13,2012-04-22 02:59:59,Beth,Pop,1,2,Glee: The Music_ Volume 3 Showstoppers
14,2012-04-22 03:03:41,Poker Face,Pop,1,3,Glee: The Music_ Volume 3 Showstoppers
15,2012-04-22 03:08:35,Bad Romance,Pop,1,3,Glee: The Music_ Volume 3 Showstoppers
16,2012-04-23 14:29:37,横顔,Pop,1,38,まとめ I
17,2012-04-23 14:33:09,れんげ畑,Pop,1,38,まとめ I
18,2012-04-25 22:02:14,クラブ・ポーリー　オケ,none,5,94,album
19,2012-04-25 22:02:49,クラブ・ポーリー　オケ,none,5,94,album
20,2012-04-25 22:03:40,クラブ・ポーリー　序曲,none,5,94,album
21,2012-04-25 22:05:08,ポーリー１番　メロディーあり,none,5,94,album
22,2012-04-25 23:41:35,ポーリー２番　メロディー付き伴奏,none,5,95,album
23,2012-04-25 23:47:48,ポーリー適当,none,5,95,album
24,2012-04-25 23:50:15,13-1 ちょっぴりオツムに、ちょっぴりハートに　１,none,5,95,album
25,2012-04-25 23:51:13,13-2 ちょっぴりオツムに、ちょっぴりハートに　２,none,5,95,album
26,2012-04-26 01:00:11,クラブ・ポーリー,none,5,97,album
27,2012-04-26 04:34:30,Wellcome to Club Polly!!　序曲〜１番,none,5,100,album
28,2012-04-26 04:59:46,クラブ・ポーリー２番　オケ,none,5,100,album
29,2012-04-30 21:26:10,一番　確定稿,none,5,45,album
30,2012-04-30 21:33:53,二番以降　確定稿,none,5,45,album
31,2012-04-30 21:34:26,カーテンコール,none,5,45,album
32,2012-05-31 18:00:41,Celine Dion My Heart Will Go On,none,5,114,album
33,2012-06-03 02:11:25,March Of The Witch Hunters,Soundtrack,3,2,Wicked: Original Broadway Cast
34,2012-06-03 05:03:23,Muscles & Mascara with Nick Adams- Episode 6,none,5,5,album
35,2012-06-03 05:17:06,Muscles & Mascara with Nick Adams- Episode 3,none,5,5,album
36,2012-06-03 05:29:25,Muscles & Mascara with Nick Adams- Episode 4,none,5,5,album
37,2012-06-17 15:08:17,Priscilla Queen of the Desert  on Today1.MP4,none,5,15,album
38,2012-06-20 10:16:30,Revolution,Rock,2,82,1967-1970 [Disc 1]
39,2012-06-20 10:19:17,Back In The USSR,Rock,2,82,1967-1970 [Disc 2]
40,2012-06-29 18:28:05,I'm Gonna Be Strong,Pop,1,138,Twelve Deadly Cyns ...And Then Some [Japan]
41,2012-07-03 20:12:12,真実の愛のキス (日本語歌),Soundtrack,3,68,魔法にかけられて オリジナル・サウンドトラック
42,2012-07-03 20:14:22,歌ってお仕事 (日本語歌),Soundtrack,3,68,魔法にかけられて オリジナル・サウンドトラック
43,2012-07-03 20:18:13,想いを伝えて (日本語歌),Soundtrack,3,68,魔法にかけられて オリジナル・サウンドトラック
44,2012-07-03 20:21:59,そばにいて (日本語歌),Soundtrack,3,68,魔法にかけられて オリジナル・サウンドトラック
45,2012-07-03 20:26:08,Strawberry Fields Forever,Rock,2,68,1967-1970 [Disc 1]
46,2012-07-03 20:29:10,Penny Lane,Rock,2,68,1967-1970 [Disc 1]
47,2012-07-03 21:09:47,Hey Jude,Rock,2,69,1967-1970 [Disc 1]
48,2012-07-04 02:38:47,While My Guitar Gently Weeps,Rock,2,74,1967-1970 [Disc 2]
49,2012-07-04 02:41:58,Ob-La-Di_ Ob-La-Da,Rock,2,74,1967-1970 [Disc 2]
50,2012-07-04 02:45:11,Get Back,Rock,2,74,1967-1970 [Disc 2]
51,2012-07-04 02:48:47,Don't Let Me Down,Rock,2,74,1967-1970 [Disc 2]
52,2012-07-04 03:02:36,Come Together,Rock,2,75,1967-1970 [Disc 2]
53,2012-07-04 03:05:40,Something,Rock,2,75,1967-1970 [Disc 2]
54,2012-07-04 03:08:32,Octopus's Garden,Rock,2,75,1967-1970 [Disc 2]
55,2012-07-09 18:40:46,Dear Old Shiz,Soundtrack,3,42,Wicked: Original Broadway Cast
56,2012-07-09 18:45:57,The Wizard And I,Soundtrack,3,42,Wicked: Original Broadway Cast
57,2012-07-09 18:49:31,What Is This Feeling?,Soundtrack,3,42,Wicked: Original Broadway Cast
58,2012-07-09 18:51:12,Something Bad,Soundtrack,3,42,Wicked: Original Broadway Cast
59,2012-07-10 18:19:35,Sgt. Pepper's Lonely Hearts Club Band,Rock,2,66,1967-1970 [Disc 1]
60,2012-07-10 18:50:59,Lady Madonna,Rock,2,66,1967-1970 [Disc 1]
61,2012-07-10 18:57:03,Billie Jean,R&B,8,66,King Of Pop [Japan Edition]
62,2012-07-10 19:02:20,Man In The Mirror,R&B,8,67,King Of Pop [Japan Edition]
63,2012-07-14 14:15:24,The Tear Heals,Children's,6,158,塔の上のラプンツェル オリジナル・サウンドトラック
64,2012-07-14 14:37:15,こまくやぶれる,Rock,2,158,爆弾こわい
65,2012-07-14 14:41:17,爆弾こわい,Rock,2,158,爆弾こわい
66,2012-07-14 14:47:44,マルマルファンク,Rock,2,158,爆弾こわい
67,2012-07-14 16:22:02,A Day In The Life,Rock,2,160,1967-1970 [Disc 1]
68,2012-07-14 16:25:51,All You Need Is Love,Rock,2,160,1967-1970 [Disc 1]
69,2012-07-14 16:30:27,I Am The Walrus,Rock,2,160,1967-1970 [Disc 1]
70,2012-07-14 16:36:57,The Fool On The Hill,Rock,2,160,1967-1970 [Disc 1]
