"","x"
"none",4412
"Soundtrack",979
"Pop",463
"Rock",350
"Alternative & Punk",290
"ロック",147
"Spoken & Audio",131
"Classical",130
"ポップ",123
"その他",115
"Alternative",103
"Books & Spoken",96
"サウンドトラック",79
"Electronica",65
"Dance & House",43
"R&B",43
"J-Pop",39
"VoiceActor",38
"Vocal Album",36
"音声 (一般)",32
"Rap",30
"Unclassifiable",27
"ブルース",21
"Screen Music(Sound Tracks)",20
"Album",17
"不明",17
"JPop",14
"ドラマCD",12
"General Spoken",10
"Other",8
"DramaCD",7
"Others",7
"アニメ",6
"146",4
"ボーカル",4
"Classic",1
"pops",1
"ロボットヴォイスシャワーインスト",1
"応援",1
"歌ってみた",1
