"","x"
"1","Jazz"
"2","none"
"3","Rock"
"4","ロック"
"5","ポップ"
"6","Pop"
"7","Classical"
"8","ジャズ"
"9","Alternative & Punk"
"10","Latin"
"11","New Age"
"12","World"
"13","Unclassifiable"
"14","Blues"
"15","R&B"
"16","Spoken & Audio"
"17","クラシック"
"18","Reggae"
"19","フォーク"
"20","Electronica_Dance"
"21","Hip Hop_Rap"
"22","Alternative"
"23","Other"
"24","イージーリスニング"
"25","ラテン"
"26","Easy Listening"
"27","Indie Rock"
"28","Books & Spoken"
"29","J-Pop"
"30","Soundtrack"
"31","メタル"
"32","Electronica"
"33","Handbell"
"34","Podcast"
"35","Traditional"
"36","その他"
"37","Dance & House"
"38","Electronic"
"39","Gospel & Religious"
"40","247"
"41","サウンドトラック"
"42","インストゥルメンタル"
"43","エレクトロニック"
"44","ワールド"
"45","歌謡曲"
