,sortedIml...1.,sortedIml...6.,sortedIml...2.,genreRank,timeID,sortedIml...7.
1,2012-05-01 03:37:10,Robot Waiting Room _1,サウンドトラック,2,51,Portal 2: Songs to Test By - Volume 3
2,2012-05-01 03:39:25,Robot Waiting Room _2,サウンドトラック,2,51,Portal 2: Songs to Test By - Volume 3
3,2012-05-01 03:41:39,Robot Waiting Room _3,サウンドトラック,2,51,Portal 2: Songs to Test By - Volume 3
4,2012-05-01 03:43:53,Robot Waiting Room _4,サウンドトラック,2,51,Portal 2: Songs to Test By - Volume 3
5,2012-05-01 03:46:08,Robot Waiting Room _5,サウンドトラック,2,51,Portal 2: Songs to Test By - Volume 3
6,2012-05-01 04:30:07,Robot Waiting Room _6,サウンドトラック,2,52,Portal 2: Songs to Test By - Volume 3
7,2012-05-01 04:30:54,You Saved Science,サウンドトラック,2,52,Portal 2: Songs to Test By - Volume 3
8,2012-05-01 04:34:33,Robots FTW,サウンドトラック,2,52,Portal 2: Songs to Test By - Volume 3
9,2012-05-01 04:37:08,Goodbye Miss Goodavich _ Rosie's Reel,Traditional,7,52,Otherworld
10,2012-05-01 04:41:52,The Floating Crowbar _ McGlinchey's _ The Almost Reel,Traditional,7,52,Otherworld
11,2012-05-14 06:07:14,Air_on_the_G_string_110713,none,4,30,album
12,2012-06-16 14:11:33,Wow,Pop,3,158,Completely Recorded [Disc 2]
13,2012-06-16 14:16:22,君の名前を呼んだ後に,Pop,3,158,Completely Recorded [Disc 2]
14,2012-06-16 14:21:17,Good Morning!,Pop,3,158,Completely Recorded [Disc 2]
15,2012-06-16 14:26:15,優しい歌が歌えない,Pop,3,158,Completely Recorded [Disc 2]
16,2012-06-17 11:28:58,北風～君にとどきますように～,Pop,3,11,Completely Recorded [Disc 1]
17,2012-06-17 11:34:24,彼女の恋人,Pop,3,11,Completely Recorded [Disc 1]
18,2012-06-17 11:39:17,No.1,Pop,3,11,Completely Recorded [Disc 1]
19,2012-06-17 11:44:56,ズル休み,Pop,3,11,Completely Recorded [Disc 1]
20,2012-06-17 11:49:36,雪に願いを,Pop,3,11,Completely Recorded [Disc 1]
21,2012-06-17 11:54:19,2つの願い,Pop,3,11,Completely Recorded [Disc 1]
22,2012-06-17 11:58:54,SPY,Pop,3,11,Completely Recorded [Disc 1]
23,2012-06-17 12:03:19,SECRET HEAVEN,Pop,3,12,Completely Recorded [Disc 1]
24,2012-06-17 12:07:54,COWBOY,Pop,3,12,Completely Recorded [Disc 1]
25,2012-06-17 12:11:54,どうしようもない僕に天使が降りてきた,Pop,3,12,Completely Recorded [Disc 1]
26,2012-06-17 12:15:59,まだ生きてるよ,Pop,3,12,Completely Recorded [Disc 1]
27,2012-06-17 12:19:41,素直,Pop,3,12,Completely Recorded [Disc 2]
28,2012-06-17 12:23:15,モンタージュ,Pop,3,12,Completely Recorded [Disc 2]
29,2012-06-17 12:28:16,足音,Pop,3,12,Completely Recorded [Disc 2]
30,2012-06-17 12:32:51,HAPPY DANCE,Pop,3,12,Completely Recorded [Disc 2]
31,2012-06-17 12:38:36,STRIPE!,Pop,3,12,Completely Recorded [Disc 2]
32,2012-06-17 12:43:16,Hungry Spider,Pop,3,12,Completely Recorded [Disc 2]
33,2012-06-17 12:48:10,桃,Pop,3,12,Completely Recorded [Disc 2]
34,2012-06-17 12:52:06,Are You OK?,Pop,3,12,Completely Recorded [Disc 2]
35,2012-06-17 12:57:14,雨ニモ負ケズ,Pop,3,12,Completely Recorded [Disc 2]
36,2012-06-17 13:01:51,花火の夜,Pop,3,13,Completely Recorded [Disc 2]
37,2012-06-17 13:06:26,これはただの例え話じゃない,Pop,3,13,Completely Recorded [Disc 2]
38,2012-07-03 08:04:45,NG,Pop,3,56,Completely Recorded [Disc 1]
39,2012-07-03 08:09:54,ANSWER,Pop,3,56,Completely Recorded [Disc 1]
40,2012-07-03 08:15:01,どんなときも。,Pop,3,56,Completely Recorded [Disc 1]
41,2012-07-03 08:18:52,冬がはじまるよ,Pop,3,56,Completely Recorded [Disc 1]
42,2012-07-03 08:23:26,もう恋なんてしない,Pop,3,56,Completely Recorded [Disc 1]
43,2012-07-05 21:13:18,Tama-Kyukoh set,none,4,117,The Camel
44,2012-07-05 21:16:41,Shokotan's Waltz,none,4,117,The Camel
45,2012-07-05 21:20:40,Onigi-Reel set,none,4,117,The Camel
46,2012-07-05 21:27:45,君をのせて,Soundtrack,1,117,アニメージュ・ボーカル・コレクション
47,2012-07-05 21:31:51,風の谷のナウシカ,Soundtrack,1,117,アニメージュ・ボーカル・コレクション
48,2012-07-05 21:36:10,となりのトトロ,Soundtrack,1,117,アニメージュ・ボーカル・コレクション
