"","x"
"Classical",1741
"none",401
"Soundtrack",204
"Jazz",112
"Children's",46
"Rock",25
"Children's Music",22
"New Age",19
"Game",16
"Traditional",15
"オペラ",15
"サウンドトラック",14
"Electronica",12
"Classique",10
"Indie Rock",10
"Contemporary Classical",9
"Other",9
"R&B",7
"soundtrack",7
"145",6
"classical",6
"Electronica_Dance",6
"Fredrik Ullén_ piano",6
"Solo",6
"クラシック",6
"Opera",5
"Unclassifiable",5
"Avantgarde _ Contemporary",4
"Choral",4
"Pop",4
"Easy Listening",3
"アバンギャルド",3
"Folk",2
"Latin",2
"Religious",2
"Trombone Concerto",2
"フォーク",2
"ボイスメモ",2
"Alternative",1
"Ambient",1
"Avantgarde",1
"Electronic",1
"General Soundtrack",1
"John Ogdon_ piano",1
"Jonathan Powell_ piano",1
"Minimalism",1
"Misc.",1
"Orchestral",1
"World",1
"ショートーン",1
"その他",1
"Charles Hopkins_ piano",0
"Classical_Comedy",0
"Donna Amato_ piano",0
"Jonathen Powell_ piano",0
"Mixed Genre",0
"Podcast",0
"Sound Track",0
"Symphonic",0
"Yonty Solomon_ piano",0
"アニメ",0
"ｳﾖ ",0
"ヒップホップ",0
"ミュージック",0
"分類不能",0
