"","x"
"1","Classical"
"2","none"
"3","Soundtrack"
"4","Jazz"
"5","Children's"
"6","Rock"
"7","Children's Music"
"8","New Age"
"9","Game"
"10","Traditional"
"11","オペラ"
"12","サウンドトラック"
"13","Electronica"
"14","Classique"
"15","Indie Rock"
"16","Contemporary Classical"
"17","Other"
"18","R&B"
"19","soundtrack"
"20","145"
"21","classical"
"22","Electronica_Dance"
"23","Fredrik Ullén_ piano"
"24","Solo"
"25","クラシック"
"26","Opera"
"27","Unclassifiable"
"28","Avantgarde _ Contemporary"
"29","Choral"
"30","Pop"
"31","Easy Listening"
"32","アバンギャルド"
"33","Folk"
"34","Latin"
"35","Religious"
"36","Trombone Concerto"
"37","フォーク"
"38","ボイスメモ"
"39","Alternative"
"40","Ambient"
"41","Avantgarde"
"42","Electronic"
"43","General Soundtrack"
"44","John Ogdon_ piano"
"45","Jonathan Powell_ piano"
"46","Minimalism"
"47","Misc."
"48","Orchestral"
"49","World"
"50","ショートーン"
"51","その他"
