,sortedIml...1.,sortedIml...6.,sortedIml...2.,genreRank,timeID,sortedIml...7.
1,2012-04-02 09:33:50,Beautiful World,R&B,9,33,HEART STATION
2,2012-04-02 09:39:15,Flavor Of Life -Ballad Version-,R&B,9,33,HEART STATION
3,2012-04-02 10:00:03,Stay Gold,R&B,9,34,HEART STATION
4,2012-04-02 10:05:10,Kiss & Cry,R&B,9,34,HEART STATION
5,2012-04-02 10:06:23,Gentle Beast Interlude,R&B,9,34,HEART STATION
6,2012-04-02 10:10:50,Celebrate,R&B,9,34,HEART STATION
7,2012-04-02 10:15:36,Prisoner Of Love,R&B,9,34,HEART STATION
8,2012-04-02 10:19:19,テイク 5,R&B,9,34,HEART STATION
9,2012-04-02 10:21:42,ぼくはくま,R&B,9,34,HEART STATION
10,2012-04-02 10:27:33,虹色バス,R&B,9,34,HEART STATION
11,2012-04-02 10:32:20,Flavor Of Life,R&B,9,34,HEART STATION
12,2012-04-02 17:09:19,YAP pure land pt01,Electronica,3,41,Shambhala Number Two & Three [Disc 2]
13,2012-04-02 17:12:46,Hima (Decadence Mix) with DJ Haranaga,Electronica_Dance,18,41,Domino
14,2012-04-02 17:17:03,心に歌が 届いたら ～Vocal～,Self Healing,40,41,[BK-K/018] Bridge of Babel
15,2012-04-02 17:22:21,Xembala,Electronica,3,41,Shambhala Number Two & Three [Disc 1]
16,2012-04-02 17:26:51,つかさの声だけでエレクトロニカ(Beatless ambient-Mix),TsukasaRecords,44,41,Tsukasa de Construction
17,2012-04-02 17:31:03,Ničoha,Modern Classic,39,41,Libidakachańnie_ martydavajna
18,2012-04-02 17:34:56,nanashi,none,2,41,The Order of the Boot vol.2
19,2012-04-05 22:49:18,Abyssal Drop,Dance,22,118,Mogra Mix EP
20,2012-04-05 22:54:48,Like! Like! Like! feat. 桃井はるこ (PandaBoY Remix),Dance,22,118,Mogra Mix EP
21,2012-04-09 12:31:50,Dirac Sea,none,2,36,Mapzzz EP18 - Ra Cailum
22,2012-04-09 23:26:30,20120408,none,2,47,asanoappyDJmix
23,2012-04-10 11:34:35,White Out,Dance,22,59,Mogra Mix EP
24,2012-04-10 11:45:56,Hi-Tech Jazz,Electronic,8,59,UR Presents Galaxy 2 Galaxy - A Hitech Jazz Compilation [SUBCD-3010-2]
25,2012-04-10 11:49:22,Metamorphosis,Electronic,8,59,UR Presents Galaxy 2 Galaxy - A Hitech Jazz Compilation [SUBCD-3010-2]
26,2012-04-10 23:56:42,サクリファイス (インストゥルメンタル バージョン),Dance & House,6,71,サクリファイス Feat. 太田莉菜
27,2012-04-11 00:02:53,サクリファイス (ダブミックス バージョン),Dance & House,6,72,サクリファイス Feat. 太田莉菜
28,2012-04-11 00:56:19,Twilight feat. Yu Kamata,none,2,72,Lovin' Life_ Lovin' You EP
29,2012-04-11 01:02:14,Twilight feat. Yu Kamata (asahiyan remix),none,2,73,Lovin' Life_ Lovin' You EP
30,2012-04-11 01:06:31,Twilight feat. Yu Kamata (sorafka remix),none,2,73,Lovin' Life_ Lovin' You EP
31,2012-04-11 01:10:40,Twilight feat. Yu Kamata (la-lac's summer jam mix),none,2,73,Lovin' Life_ Lovin' You EP
32,2012-04-11 10:00:56,Dreamin' Girl (But I Hope Happiness Forever),none,2,82,Lovin' Life_ Lovin' You EP
33,2012-04-11 10:06:56,Lovin' Life_ Lovin' You,none,2,82,Lovin' Life_ Lovin' You EP
34,2012-04-11 10:12:19,Plastic Love,none,2,82,Lovin' Life_ Lovin' You EP
35,2012-04-12 09:46:27,わかりません。,none,2,105,West In Dust 2012
36,2012-04-12 09:50:20,Step Right,none,2,105,West In Dust 2012
37,2012-04-12 09:54:22,Thoughts About the Inbox,none,2,105,West In Dust 2012
38,2012-04-12 10:00:45,Elephant & Castle and shortcircles - All I Can Say,none,2,106,West In Dust 2012
39,2012-04-12 10:05:24,Who Did I Break,none,2,106,West In Dust 2012
40,2012-04-12 10:09:04,Outerbanks,none,2,106,West In Dust 2012
41,2012-04-13 00:28:03,ビードロ模様(2step remix),none,2,120,album
