"","x"
"Rock",462
"Pop",454
"Soundtrack",274
"Classical",266
"R&B",159
"none",153
"ポップ",141
"ロック",106
"Alternative & Punk",87
"JPop",46
"Dance & House",36
"Spoken & Audio",33
"Jazz",32
"World",28
"Other",24
"J-POP",22
"吹奏楽",22
"Books & Spoken",16
"Easy Listening",15
"Country & Folk",11
"New Age",10
"Children's Music",9
"Latin",8
"その他",7
"サウンドトラック",3
"146",2
"BGM",2
"Traditional",2
"クラシック",2
"Anime",1
"Metal",1
"インストゥルメンタルロック",1
"ｰAｰﾑｰoｰ･ｶ避妙鬲ｵ (2006_07_31 12:16:51)",0
"Children's",0
"Hip Hop_Rap",0
"J-Pop",0
"J-Pops",0
"Japanese Pop",0
"Punk",0
"Sound Clip",0
"Unclassifiable",0
"Unknown",0
"ゴシック",0
"パンク",0
