,sortedIml...1.,sortedIml...6.,sortedIml...2.,genreRank,timeID,sortedIml...7.
1,2012-04-04 10:09:33,モーツァルト: ホルン協奏曲 第4番 変ホ短調 K495 第2楽章 : ロマンツァ アンダンテ・カンタービレ,Classical,2,82,Best Classics 100 2 [Disc 4] Instrumental Classics
2,2012-04-04 10:25:07,ベートーヴェン_交響曲第9番「合唱」より「喜びの歌」,Classical,2,82,Best Classics 100 [Disc 1]
3,2012-04-04 10:36:33,ヘンデル：「水上の音楽」組曲 第２番 ニ長調より,Classical,2,82,Best Classics 100 2 [Disc 2] Eternal Classics
4,2012-04-04 11:09:44,Snowy Nights Serenade ～心までも繋ぎたい～,Rock,3,83,Fantasia of Life Stripe
5,2012-04-04 11:23:22,4645,Rock,3,83,RADWIMPS 3～無人島に持っていき忘れた一枚～
6,2012-04-04 19:14:14,レスピーギ:ボルゲーゼ荘の松(交響詩「ローマの松」より 第1部),Classical,2,91,Best Classics 100 2 [Disc 6] Favourite Encore Classics
7,2012-04-05 09:29:13,ビゼー: カルメン - 花の歌,Classical,2,105,Best Classics 100 [Disc 3] -Vocal Classics-
8,2012-04-05 09:35:06,アダージョ,Classical,2,105,Best Classics 100
9,2012-04-05 16:40:38,チャイコフスキー：交響曲 第4番 ヘ短調 第4楽章,Classical,2,112,Best Classics 100 2 [Disc 2] Eternal Classics
10,2012-04-06 08:08:54,優しい嘘,Rock,3,128,Q.E.D.
11,2012-04-06 08:23:52,モーツァルト: クラリネット五重奏曲 イ長調 K581 第2楽章 : ラルゲット,Classical,2,128,Best Classics 100 2 [Disc 5] Nostalgic Classics
12,2012-04-06 08:41:12,25コ目の染色体,Rock,3,128,RADWIMPS 3～無人島に持っていき忘れた一枚～
13,2012-04-06 21:06:50,バッハ: 2つのヴァイオリンのための協奏曲第2楽章 BWV 1043_ "Double" - 2. Largo Ma Non Tanto,Classical,2,141,Best Classics 100 [Disc 5]
14,2012-04-09 07:34:55,ループ & ループ,Rock,3,31,ソルファ
15,2012-04-09 08:05:09,シューベルト: アヴェ・マリア_ D 839,Classical,2,32,Best Classics 100 [Disc 3] -Vocal Classics-
16,2012-04-10 07:50:31,モーツァルト: ピアノ協奏曲 第20番 ニ短調 K466 第2楽章 : ロマンツェ (抜粋),Classical,2,55,Best Classics 100 2 [Disc 5] Nostalgic Classics
17,2012-04-10 07:54:14,ヴェルディ:我は嘆く(レクイエムより),Classical,2,55,Best Classics 100 [Disc 6] - Spiritual Classics-
18,2012-04-10 18:01:29,westview　魔法の言葉,none,1,66,album
19,2012-04-10 18:04:57,トレモロ,Rock,3,66,RADWIMPS 3～無人島に持っていき忘れた一枚～
20,2012-04-10 18:57:41,閉じた光,Rock,3,66,RADWIMPS 3～無人島に持っていき忘れた一枚～
21,2012-04-12 11:45:21,恋愛勇者,none,1,107,album
22,2012-04-15 10:48:46,Maria,Rock,3,10,Q.E.D.
23,2012-04-15 22:45:36,THE RICECOOKERS 波のゆくさき,none,1,22,album
24,2012-04-16 08:18:03,海岸通り,Rock,3,32,ソルファ
25,2012-04-16 17:25:15,シューベルト:野ばらD257,Classical,2,41,Best Classics 100 2 [Disc 6] Favourite Encore Classics
26,2012-04-17 07:11:39,ムソルグスキー: バーバ・ヤーガの小屋 (「展覧会の絵」より),Classical,2,55,Best Classics 100 2 [Disc 1] Spectacular Classics
27,2012-04-17 08:03:11,リムスキー＝コルサコフ: 熊蜂の飛行 (歌劇「サルタン皇帝の物語」より),Classical,2,56,Best Classics 100 2 [Disc 1] Spectacular Classics
28,2012-04-21 06:51:50,ピアノ・ソナタ第14番「月光」,Classical,2,150,Best Classics 100
29,2012-04-21 07:44:53,フンメル: トランペット協奏曲 変ホ長調 第3楽章 : ロンド アレグロ・モルト,Classical,2,151,Best Classics 100 2 [Disc 4] Instrumental Classics
30,2012-04-21 07:53:08,ベートーヴェン：エリーゼのために,Classical,2,151,Best Classics 100 2 [Disc 2] Eternal Classics
31,2012-04-21 08:04:05,ホルスト_惑星より「ジュピター」(終結部),Classical,2,152,Best Classics 100 [Disc 1]
32,2012-04-21 08:14:42,ブラームス:ワルツ第15番 変イ長調 作品39-15,Classical,2,152,Best Classics 100 2 [Disc 6] Favourite Encore Classics
33,2012-04-21 08:29:33,セプテンバーさん,Rock,3,152,RADWIMPS 3～無人島に持っていき忘れた一枚～
34,2012-04-21 12:41:22,ヘンデル: セルセ - オンブラ・マイ・フ,Classical,2,156,Best Classics 100 [Disc 3] -Vocal Classics-
35,2012-04-21 12:57:37,睡蓮花　湘南乃風,none,1,156,album
36,2012-04-21 13:14:41,オッフェンバック:喜歌劇「天国と地獄」序曲,Classical,2,157,Best Classics 100 2 [Disc 6] Favourite Encore Classics
37,2012-04-26 07:25:39,波のゆくさき,none,1,103,中野 麻里 のアルバム
38,2012-04-26 08:04:38,創世のアクエリオン,none,1,104,album
39,2012-04-26 08:08:54,緋色の空,none,1,104,album
40,2012-04-26 09:28:54,コノハの世界事情,none,1,105,album
41,2012-04-29 14:42:17,J. S. バッハ: ブランデンブルク協奏曲 第5番 ニ長調 BWV 1050 第3楽章 : アレグロ,Classical,2,14,Best Classics 100 2 [Disc 4] Instrumental Classics
42,2012-04-29 14:47:16,ベガ ～過去と未来の北極星～,Rock,3,14,Fantasia of Life Stripe
43,2012-04-30 08:00:42,恋愛サーキュレーション　釘宮理恵ver,none,1,32,album
44,2012-04-30 09:29:09,ライオン,none,1,33,album
45,2012-04-30 10:00:08,We will rock you,none,1,34,中野 麻里 のアルバム
46,2012-04-30 12:32:49,Xpander,Trance,14,36,album
47,2012-05-09 19:00:58,二息歩行【Gero】,none,1,91,album
48,2012-05-09 19:09:50,黒い太陽,Rock,3,91,Q.E.D.
49,2012-05-10 11:47:26,24時,Rock,3,107,ソルファ
50,2012-05-10 12:34:51,ショパン:ポロネーズ第6番変イ長調作品53「英雄」,Classical,2,108,Best Classics 100 2 [Disc 6] Favourite Encore Classics
51,2012-05-12 09:45:10,RAGFAIR良曲集【作業用BGM】,none,1,153,album
52,2012-05-14 07:39:44,ドビュッシー: アラベスク 第1番,Classical,2,31,Best Classics 100 2 [Disc 4] Instrumental Classics
53,2012-05-14 07:49:32,ドビュッシー: ベルガマスク組曲 - 3. 月の光,Classical,2,31,Best Classics 100 [Disc 4] -Golden Classics-
54,2012-05-14 08:16:04,suirenka_fin,none,1,32,album
55,2012-05-14 08:21:05,アダン: 聖らに星すむ今宵,Classical,2,32,Best Classics 100 [Disc 3] -Vocal Classics-
56,2012-05-14 08:26:03,フランク_サンドレ編:パニス・アンジェリクス,Classical,2,32,Best Classics 100 [Disc 6] - Spiritual Classics-
57,2012-05-14 18:33:56,フォーレ:イン・パラディスム(レクイエムより),Classical,2,42,Best Classics 100 [Disc 6] - Spiritual Classics-
58,2012-05-14 18:38:47,リスト: 愛の夢 第3番 変イ長調,Classical,2,42,Best Classics 100 2 [Disc 3] Romantic Classics
59,2012-05-14 18:46:44,プッチーニ: 蝶々夫人 - 可愛がって下さいね,Classical,2,42,Best Classics 100 [Disc 3] -Vocal Classics-
60,2012-05-15 07:36:09,ウィーアー！,none,1,55,album
61,2012-05-15 07:52:11,イアイア★ナイトオブデザイア,none,1,55,album
62,2012-05-15 08:02:38,この時代を生き抜くために,Rock,3,56,Fantasia of Life Stripe
63,2012-05-15 08:07:17,サティ: ジュ・トゥ・ヴ (あなたがほしい),Classical,2,56,Best Classics 100 2 [Disc 3] Romantic Classics
64,2012-05-15 15:00:13,チャイコフスキー: 「ロメオとジュリエット」幻想序曲(抜粋),Classical,2,63,Best Classics 100 [Disc 5]
65,2012-05-15 15:18:52,グリーグ: ソルヴェーグの歌 (劇付随音楽「ペール・ギュント」より),Classical,2,63,Best Classics 100 2 [Disc 5] Nostalgic Classics
66,2012-05-16 07:19:24,ゴルドベルク変奏曲よりアリア,Classical,2,79,Best Classics 100
67,2012-05-16 07:39:33,God knows,none,1,79,album
68,2012-05-16 07:44:51,シャルパンティエ: テ・デウムより ファンファーレ,Classical,2,79,Best Classics 100 2 [Disc 4] Instrumental Classics
69,2012-05-16 08:01:03,モーツァルト:アヴェ・ヴェルム・コルプス,Classical,2,80,Best Classics 100 [Disc 6] - Spiritual Classics-
70,2012-05-16 19:36:20,ヘンデル_ヘイル編: サラバンド,Classical,2,91,Best Classics 100 [Disc 4] -Golden Classics-
71,2012-05-16 19:38:59,サン=サーンス: 白鳥 (組曲「動物の謝肉祭」より),Classical,2,91,Best Classics 100 2 [Disc 4] Instrumental Classics
72,2012-05-16 20:02:38,プーランク: 六重奏曲 第2楽章：ディヴェルティッスマン アンダンティーノ,Classical,2,92,Best Classics 100 2 [Disc 5] Nostalgic Classics
73,2012-05-16 20:16:06,ヴェルディ_凱旋行進曲(歌劇「アイーダ」より),Classical,2,92,Best Classics 100 [Disc 1]
74,2012-05-16 20:25:59,ホーナー: 映画「タイタニック」_ マイ・ハート・ウィル・ゴー・オン,Classical,2,92,Best Classics 100 [Disc 4] -Golden Classics-
75,2012-05-18 21:25:19,【作業用BGM】モーニングフルオン,Trance,14,141,album
