"","x"
"1","Jazz"
"2","Rock"
"3","none"
"4","ポップ"
"5","ロック"
"6","Alternative & Punk"
"7","Classical"
"8","New Age"
"9","Pop"
"10","ジャズ"
"11","Unclassifiable"
"12","Latin"
"13","Spoken & Audio"
"14","クラシック"
"15","R&B"
"16","フォーク"
"17","Hip Hop_Rap"
"18","World"
"19","Other"
"20","Blues"
"21","Easy Listening"
"22","Indie Rock"
"23","Books & Spoken"
"24","J-Pop"
"25","イージーリスニング"
"26","Soundtrack"
"27","Electronica"
"28","Handbell"
"29","247"
"30","Dance & House"
"31","Podcast"
"32","サウンドトラック"
"33","ワールド"
"34","歌謡曲"
