,sortedIml...1.,sortedIml...6.,sortedIml...2.,genreRank,timeID,sortedIml...7.
1,2012-04-05 14:21:41,Life is Beautiful,R&B,16,110,ASTROMANTIC
2,2012-04-05 14:27:23,Zero Gravity,Pop,2,110,⊿
3,2012-04-05 14:31:57,To Say The Least You're The Most,R&B,16,110,Soul Vaccination Live [Bonus Track]
4,2012-04-05 14:40:05,Beauty Of All Things,Vocal Jazz,33,110,The Messenger
5,2012-04-05 14:41:52,グノシェンヌ 第4番(1891),Classical,15,110,新・名曲の世界 89
6,2012-04-05 14:46:20,ｕｎｔｉｅ（ａｌｂｕｍ　ｔａｋｅ）,Domestic(J-Pops),7,110,ＫＡＥＬＡ
7,2012-04-05 14:54:28,O'Carolan's Welcome _ Rolling In The Barrel,World,50,110,Otherworld
8,2012-04-05 15:01:42,Everything Happens When You're Gone,ジャズ,34,111,Don't Try This At Home
9,2012-04-05 15:13:12,River Man,piano jazz,45,111,Art of the Trio_ Vol. 5: Progression (Disc One)
10,2012-04-05 15:18:51,Never Alone,ジャズ,34,111,Wide Angles
11,2012-04-05 15:22:45,10 MARIKO,146,11,111,SOUTHERN ALL STARS
12,2012-04-05 15:26:34,chie chan's landscape,Japanese,19,111,zazen boys II
13,2012-04-05 15:33:54,Hallelujah,Alternative,17,111,ASLN
14,2012-04-05 15:35:03,つきのわらべ,Soundtrack,20,111,平成楽観唱歌　開運組曲・童子のつぶやき
15,2012-04-05 15:38:42,Don't Get Scared,Vocal Jazz,33,111,Live in Chicago
16,2012-04-05 15:47:56,Walkin' (Tokyo_ Japan_ July 14_ 1964),Jazz,3,111,The Complete Columbia Recordings 1963-1964 (Disc 6)
17,2012-04-05 15:54:20,Midnight Mood,Jazz,3,111,The Nearness Of You
18,2012-04-06 08:24:46,本能,ロック,4,128,本能
19,2012-04-06 08:33:38,錯乱,none,1,128,椎名林檎(生)林檎博'08　～10周年記念祭～
20,2012-04-12 11:17:29,ランプ,ロック,4,107,娯楽
21,2012-04-12 11:21:56,ミラーボール,ロック,4,107,娯楽
22,2012-04-12 11:25:42,金魚の箱,ロック,4,107,娯楽
23,2012-04-12 11:29:32,私生活,ロック,4,107,娯楽
24,2012-04-12 11:33:57,OSCA,ロック,4,107,娯楽
25,2012-04-12 11:36:49,黒猫道,ロック,4,107,娯楽
26,2012-04-12 11:41:00,復讐,ロック,4,107,娯楽
27,2012-04-12 11:44:47,某都民,ロック,4,107,娯楽
28,2012-04-12 11:48:42,SSAW,ロック,4,107,娯楽
29,2012-04-12 11:52:33,月極姫,ロック,4,107,娯楽
30,2012-04-12 11:56:48,酒と下戸,ロック,4,107,娯楽
31,2012-04-12 12:00:31,キラーチューン,ロック,4,108,娯楽
32,2012-04-12 12:04:31,メトロ,ロック,4,108,娯楽
33,2012-04-16 18:55:29,コントラスト,Alternative & Punk,6,42,best
34,2012-04-18 11:24:54,miss you (FreeTEMPO mix),Electronica_Dance,25,83,Imagery
35,2012-04-18 11:29:09,Mix,Dance & House,13,83,TENSE [初回盤]
36,2012-04-18 12:09:53,歓びの種,ポップ,5,84,Wave
37,2012-04-18 12:22:25,哀しみ本線日本海,ポップ,5,84,森昌子ベストコレクション～越冬つばめ～
38,2012-04-18 16:15:28,Zazen Bo,Japanese,19,88,zazen Boys II
39,2012-04-23 07:55:52,マカロニ,Jpop,30,31,Baby cruising Love / マカロニ
40,2012-04-23 08:00:34,Baby cruising Love,Jpop,30,32,Baby cruising Love / マカロニ
41,2012-04-24 14:14:24,season of mine,Pop,2,62,透明なのか黒なのか
42,2012-04-24 14:20:23,111027_hbs,none,1,62,album
43,2012-04-24 14:26:49,spitz_MTKmix_04,none,1,62,album
44,2012-04-24 14:39:32,ごめんね,J-Pop,18,62,ごめんね
45,2012-04-24 14:41:07,DR-100_0014,none,1,62,サウンドシンセシス前期課題(試行錯誤版)
46,2012-04-27 12:58:49,NEE -Original Instrumental-,エレクトロニック,27,132,Nee
47,2012-04-30 17:39:44,水色の街,ポップ,5,41,三日月ロック
48,2012-04-30 17:43:26,さわって・変わって,ポップ,5,41,三日月ロック
49,2012-05-02 11:26:58,tokyo smiling,Electronica,24,83,contemode V.A. 2
50,2012-05-02 11:28:58,kitchen shock→,Electronica,24,83,contemode V.A. 2
51,2012-05-02 12:02:19,farewell,Electronica,24,84,contemode V.A. 2
52,2012-05-02 16:44:34,6_tsurugi_01,none,1,88,album
53,2012-05-02 21:11:35,　,none,1,93,album
54,2012-05-03 13:44:53,ウダガワフライデー,Dance & House,13,109,Cutie Cinema Replay
55,2012-05-03 17:53:58,sweet time replay,Dance & House,13,113,Cutie Cinema Replay
56,2012-05-03 18:54:56,fashion fashion,Dance & House,13,114,Cutie Cinema Replay
57,2012-05-03 18:58:23,french lesson,Dance & House,13,114,Cutie Cinema Replay
58,2012-05-09 08:25:32,Reich: New York Counterpoint - 1. Fast,Classical,15,80,Reich: New York Counterpoint_ Eight Lines_ Four Organs
59,2012-05-09 08:28:16,Reich: New York Counterpoint - 2. Slow,Classical,15,80,Reich: New York Counterpoint_ Eight Lines_ Four Organs
60,2012-05-09 08:31:51,Reich: New York Counterpoint - 3. Fast,Classical,15,80,Reich: New York Counterpoint_ Eight Lines_ Four Organs
61,2012-05-10 00:30:23,アクセル,Rock,10,96,Highway Child
62,2012-05-10 00:34:13,あなたのこと,Rock,10,96,ふれるときこえ
63,2012-05-10 00:38:04,アメリカの女王,Rock,10,96,Love You
64,2012-05-10 00:43:45,ありあまる富,Alternative & Punk,6,96,ありあまる富
65,2012-05-11 09:40:20,ガンダーラ,Rock,10,129,ゴダイゴ・ベスト・アルバム
66,2012-05-11 10:15:07,Disco 82,International,42,130,Khuddaar
67,2012-05-11 21:52:33,Funky DL-Don't Even Try It,Hip Hop,40,141,First Collection [Hyde Out Productions]
68,2012-05-14 12:09:38,Köln_ January 24_ 1975 Part I,Jazz,3,36,The Köln Concert
69,2012-05-14 12:45:47,music controller (piconova-mix),Dance & House,13,36,Cutie Cinema Replay
70,2012-05-18 01:01:01,「林檎の筋」(BGM:宗教) ,none,1,121,album
71,2012-05-21 08:15:32,Six Pianos (With Terry Riley),Class,38,32,Variations_ Six Pianos Etc.
72,2012-05-21 08:24:45,マスタッシュ,J-Pop,18,32,5 years
73,2012-05-21 12:00:17,After Hanabi (Listen To My Beat),ヒップホップ,14,36,album
74,2012-05-21 12:19:39,Counting Stars,ヒップホップ,14,36,Best of Michelle Malone 1986-2006
75,2012-05-21 12:27:46,A Day by Atmosphere Supreme,Alternative Hip-Hop,12,36,Metaphorical Music
76,2012-05-21 12:31:21,Eclipse (Feat. Substantial),その他,28,36,Modal Soul
77,2012-05-21 12:41:22,The Final View,Alternative Hip-Hop,12,36,Metaphorical Music
78,2012-05-21 12:49:18,Fly by night (featuring Five Deez),ヒップホップ,14,36,album
79,2012-05-21 12:53:57,Highs 2 Lows (feat. Cise Starr Form CYNE),Alternative Hip-Hop,12,36,Metaphorical Music
80,2012-05-21 12:58:17,Hikari (featuring Substantial),ヒップホップ,14,36,album
81,2012-05-21 13:05:37,Horizon,ラップ & ヒップホップ,21,37,Modal Soul
82,2012-05-23 19:24:27,Melancholinista,ポップ,5,91,Five-Star
83,2012-05-24 18:37:01,reflection eternal,Jazz,3,114,modal soul classics II: DEDICATED TO NUJABES
84,2012-05-24 18:44:52,Another Reflection,ヒップホップ,14,114,album
85,2012-05-24 18:45:22,Reflection eternal,none,1,114,album
