"","x"
"Jazz",187
"Guitarist",22
"Soundtrack",13
"Jazz Fusion",10
"サウンドトラック",10
"Rock",6
"UK Rock",6
"Conposer",4
"J-Pop",3
"Cuban Jazz",2
"Funk",2
"Fusion",2
"Classic",1
"Jam Rock",1
"Singer Songwriter",1
"Techno Pop",1
"World",1
" jazz",0
"Acid Jazz",0
"Acoustic",0
"Afrique",0
"Alternative",0
"Alternative & Punk",0
"Audiodrama",0
"Bagpiper",0
"Bandoneonist",0
"Basist",0
"Books & Spoken",0
"Celt Music",0
"Classical",0
"Conductor",0
"Dance & House",0
"Easy Listening",0
"Electronica",0
"Flamenco",0
"Folk",0
"General",0
"General Alternative",0
"Grunge Rock",0
"Hard Rock",0
"Heavy Metal",0
"Hip-Hop",0
"Instrumental",0
"iTunes U",0
"J-Rock",0
"jazz",0
"Jazz funk",0
"JPop",0
"Latin",0
"Melodic death metal",0
"Minimal",0
"Minimal Music",0
"Mixture Rock",0
"none",0
"Oboist",0
"Other",0
"Pianist",0
"Podcast",0
"Pop",0
"POP",0
"Post Rock",0
"Progressive Rock",0
"Punk",0
"R&B",0
"Shoegazer",0
"Singer",0
"Soul",0
"ukulele",0
"Violinist",0
"Vocal",0
"ボイスメモ",0
"教則cd",0
