,sortedIml...1.,sortedIml...6.,sortedIml...2.,genreRank,timeID,sortedIml...7.
1,2012-07-16 00:53:02,idiot,none,1,24,true men of non-doing
2,2012-07-16 00:56:21,marlama,none,1,24,true men of non-doing
3,2012-07-16 00:59:22,sunday morning,none,1,24,true men of non-doing
4,2012-07-16 01:06:25,tea for two,none,1,25,true men of non-doing
5,2012-07-16 01:10:20,true man non-doing,none,1,25,true men of non-doing
6,2012-07-16 15:15:39,(Intro),Alternative & Punk,2,39,Ágætis Byrjun
7,2012-07-16 15:25:43,Svefn-g-englar,Alternative & Punk,2,39,Ágætis Byrjun
8,2012-07-16 15:59:10,Starálfur,Alternative & Punk,2,39,Ágætis Byrjun
9,2012-07-16 16:06:58,Flugufrelsarinn,Alternative & Punk,2,40,Ágætis Byrjun
10,2012-07-16 17:49:37,0,その他,17,41,GSL Series
11,2012-07-16 17:53:40,0=2,none,1,41,GSL Series
12,2012-07-16 18:01:05,Jam Intro [Troubadour_ LA - 04th September 2008],none,1,42,album
13,2012-07-16 18:48:47,Biggie (Stay Strong),none,1,42,Man Conversation
14,2012-07-16 18:58:07,Happiness,Alternative & Punk,2,42,Riceboy Sleeps
15,2012-07-16 19:06:37,Atlas Song,Alternative & Punk,2,43,Riceboy Sleeps
16,2012-07-16 19:15:43,Indian Summer,Alternative & Punk,2,43,Riceboy Sleeps
17,2012-07-17 13:10:01,01.ティップ ティップ,ポップ,23,61,帰ってから歌いたくなってもいいようにと思ったのだ。
18,2012-07-17 13:15:38,02.督促嬢,ポップ,23,61,帰ってから歌いたくなってもいいようにと思ったのだ。
19,2012-07-17 13:18:32,03.かえる,ポップ,23,61,帰ってから歌いたくなってもいいようにと思ったのだ。
20,2012-07-18 05:13:55,きみはぼくのともだち,none,1,77,ラジオ弾き語り
21,2012-07-18 05:18:35,家族の風景,Pop,5,77,hana-uta
22,2012-07-18 05:22:26,音タイム,Pop,5,77,hana-uta
23,2012-07-18 05:26:30,明日天気になれ,Pop,5,77,hana-uta
24,2012-07-18 05:35:46,ハンキーパンキー,Pop,5,77,hana-uta
25,2012-07-18 05:40:11,レター,Pop,5,77,hana-uta
26,2012-07-18 05:44:12,さらら,Pop,5,77,hana-uta
27,2012-07-18 05:50:26,明日へゆけ,Pop,5,77,hana-uta
28,2012-07-18 06:01:23,フレルマインド,Pop,5,78,hana-uta
29,2012-07-18 06:05:06,どれみれげえ,Pop,5,78,hana-uta
30,2012-07-18 14:01:55,Everything,レゲエ,32,86,Jehro
31,2012-07-18 14:05:54,I Want Love,レゲエ,32,86,Jehro
32,2012-07-18 14:10:29,Long Is the Way,レゲエ,32,86,Jehro
33,2012-07-18 14:15:00,Sweet,レゲエ,32,86,Jehro
34,2012-07-18 14:18:41,Continuando,レゲエ,32,86,Jehro
35,2012-07-18 14:22:01,Stand On,レゲエ,32,86,Jehro
36,2012-07-20 15:03:41,333,none,1,135,Helen Burns
37,2012-07-21 17:18:05,Pedestal of Infamy,none,1,161,Helen Burns
38,2012-07-21 17:19:35,A Little Bit of Sanity,none,1,161,Helen Burns
39,2012-07-21 17:22:36,Helen Burns,none,1,161,Helen Burns
40,2012-07-21 17:30:08,333 Revisited,none,1,161,Helen Burns
41,2012-07-21 17:33:40,Lovelovelove,none,1,161,Helen Burns
42,2012-07-21 17:41:43,333,none,1,161,Helen Burns　320kbps mp3
43,2012-07-21 17:44:55,Pedestal of Infamy,none,1,161,Helen Burns　320kbps mp3
44,2012-07-21 17:46:24,A Little Bit of Sanity,none,1,161,Helen Burns　320kbps mp3
45,2012-07-21 22:11:34,Seadrum,Jrock,55,166,Seadrum/House of Sun
46,2012-07-22 01:17:53,音階小夜曲,ロック,7,1,こども
47,2012-07-22 09:59:14,120718_takakuwa,none,1,9,album
48,2012-07-22 18:10:41,Fantasy,Indie Rock,16,18,Ep C / B Ep [Disc 2]
49,2012-07-28 23:55:41,Bach: Well-Tempered Clavier_ Book 2 - Prelude _2 In C Minor_ BWV 871,Classical Solo Instrumental,3,167,Bach: The Well-Tempered Clavier [Disc 2]
50,2012-07-28 23:57:11,Bach: Well-Tempered Clavier_ Book 2 - Fugue _2 In C Minor_ BWV 871,Classical Solo Instrumental,3,167,Bach: The Well-Tempered Clavier [Disc 2]
51,2012-07-28 23:58:51,Bach: Well-Tempered Clavier_ Book 2 - Prelude _3 In C Sharp_ BWV 872,Classical Solo Instrumental,3,167,Bach: The Well-Tempered Clavier [Disc 2]
52,2012-07-29 00:25:53,Bach: Well-Tempered Clavier_ Book 2 - Fugue _3 In C Sharp_ BWV 872,Classical Solo Instrumental,3,0,Bach: The Well-Tempered Clavier [Disc 2]
53,2012-07-29 00:29:05,Bach: Well-Tempered Clavier_ Book 2 - Prelude _4 In C Sharp Minor_ BWV 873,Classical Solo Instrumental,3,0,Bach: The Well-Tempered Clavier [Disc 2]
54,2012-07-29 00:31:02,Bach: Well-Tempered Clavier_ Book 2 - Fugue _4 In C Sharp Minor_ BWV 873,Classical Solo Instrumental,3,0,Bach: The Well-Tempered Clavier [Disc 2]
55,2012-07-29 00:35:16,Bach: Well-Tempered Clavier_ Book 2 - Prelude _5 In D_ BWV 874,Classical Solo Instrumental,3,0,Bach: The Well-Tempered Clavier [Disc 2]
56,2012-07-29 00:38:04,Bach: Well-Tempered Clavier_ Book 2 - Fugue _5 In D_ BWV 874,Classical Solo Instrumental,3,0,Bach: The Well-Tempered Clavier [Disc 2]
57,2012-07-29 00:40:00,Bach: Well-Tempered Clavier_ Book 2 - Prelude _6 In D Minor_ BWV 875,Classical Solo Instrumental,3,0,Bach: The Well-Tempered Clavier [Disc 2]
58,2012-07-29 00:54:41,Bach: Well-Tempered Clavier_ Book 2 - Fugue _6 In D Minor_ BWV 875,Classical Solo Instrumental,3,0,Bach: The Well-Tempered Clavier [Disc 2]
59,2012-07-29 00:56:11,Bach: Well-Tempered Clavier_ Book 2 - Prelude _7 In E Flat_ BWV 876,Classical Solo Instrumental,3,0,Bach: The Well-Tempered Clavier [Disc 2]
60,2012-07-29 00:57:54,Bach: Well-Tempered Clavier_ Book 2 - Fugue _7 In E Flat_ BWV 876,Classical Solo Instrumental,3,0,Bach: The Well-Tempered Clavier [Disc 2]
61,2012-07-29 01:00:16,Bach: Well-Tempered Clavier_ Book 2 - Prelude _8 In E Flat Minor_ BWV 877,Classical Solo Instrumental,3,1,Bach: The Well-Tempered Clavier [Disc 2]
62,2012-07-29 01:02:34,Bach: Well-Tempered Clavier_ Book 2 - Fugue _8 In E Flat Minor_ BWV 877,Classical Solo Instrumental,3,1,Bach: The Well-Tempered Clavier [Disc 2]
63,2012-07-29 01:04:52,Bach: Well-Tempered Clavier_ Book 2 - Prelude _9 In E_ BWV 878,Classical Solo Instrumental,3,1,Bach: The Well-Tempered Clavier [Disc 3]
64,2012-07-29 01:06:44,Bach: Well-Tempered Clavier_ Book 2 - Fugue _9 In E_ BWV 878,Classical Solo Instrumental,3,1,Bach: The Well-Tempered Clavier [Disc 3]
65,2012-07-29 01:08:48,Bach: Well-Tempered Clavier_ Book 2 - Prelude _10 In E Minor_ BWV 879,Classical Solo Instrumental,3,1,Bach: The Well-Tempered Clavier [Disc 3]
66,2012-07-29 01:11:37,Bach: Well-Tempered Clavier_ Book 2 - Fugue _10 In E Minor_ BWV 879,Classical Solo Instrumental,3,1,Bach: The Well-Tempered Clavier [Disc 3]
67,2012-07-29 01:13:46,Bach: Well-Tempered Clavier_ Book 2 - Prelude _11 In F_ BWV 880,Classical Solo Instrumental,3,1,Bach: The Well-Tempered Clavier [Disc 3]
68,2012-07-29 01:15:22,Bach: Well-Tempered Clavier_ Book 2 - Fugue _11 In F_ BWV 860,Classical Solo Instrumental,3,1,Bach: The Well-Tempered Clavier [Disc 3]
69,2012-07-29 03:13:06,Bach: Well-Tempered Clavier_ Book 2 - Prelude _12 In F Minor_ BWV 881,Classical Solo Instrumental,3,3,Bach: The Well-Tempered Clavier [Disc 3]
70,2012-07-29 03:14:39,Bach: Well-Tempered Clavier_ Book 2 - Fugue _12 In F Minor_ BWV 881,Classical Solo Instrumental,3,3,Bach: The Well-Tempered Clavier [Disc 3]
71,2012-07-29 03:18:43,Bach: Well-Tempered Clavier_ Book 2 - Fugue _13 In F Sharp_ BWV 882,Classical Solo Instrumental,3,3,Bach: The Well-Tempered Clavier [Disc 3]
72,2012-07-29 13:48:00,Bach: Well-Tempered Clavier_ Book 1 - Fugue _21 In B Flat_ BWV 866,Classical Solo Instrumental,3,13,Bach: The Well-Tempered Clavier [Disc 2]
73,2012-07-29 13:51:58,Bach: Well-Tempered Clavier_ Book 1 - Prelude _22 In B Flat Minor _ BWV 867,Classical Solo Instrumental,3,13,Bach: The Well-Tempered Clavier [Disc 2]
74,2012-07-29 13:57:07,Bach: Well-Tempered Clavier_ Book 1 - Fugue _22 In B Flat Minor _ BWV 867,Classical Solo Instrumental,3,13,Bach: The Well-Tempered Clavier [Disc 2]
75,2012-07-29 13:58:06,Bach: Well-Tempered Clavier_ Book 1 - Prelude _23 In B_ BWV 868,Classical Solo Instrumental,3,13,Bach: The Well-Tempered Clavier [Disc 2]
76,2012-07-29 13:59:44,Bach: Well-Tempered Clavier_ Book 1 - Fugue _23 In B_ BWV 868,Classical Solo Instrumental,3,13,Bach: The Well-Tempered Clavier [Disc 2]
77,2012-07-29 14:01:59,Bach: Well-Tempered Clavier_ Book 1 - Prelude _24 In B Minor_ BWV 869,Classical Solo Instrumental,3,14,Bach: The Well-Tempered Clavier [Disc 2]
78,2012-07-29 14:05:49,Bach: Well-Tempered Clavier_ Book 1 - Fugue _24 In B Minor_ BWV 869,Classical Solo Instrumental,3,14,Bach: The Well-Tempered Clavier [Disc 2]
79,2012-07-29 14:08:49,Bach: Well-Tempered Clavier_ Book 2 - Prelude _1 In C_ BWV 870,Classical Solo Instrumental,3,14,Bach: The Well-Tempered Clavier [Disc 2]
80,2012-07-29 14:10:42,Bach: Well-Tempered Clavier_ Book 2 - Fugue _1 In C_ BWV 870,Classical Solo Instrumental,3,14,Bach: The Well-Tempered Clavier [Disc 2]
81,2012-07-29 17:26:22,PART2,none,1,17,ADEPRESSIVE CANNOT GOTO THECEREMONY
82,2012-07-30 01:59:15,Carvel (Acoustic),Alternative Rock,25,25,Shadows Collide with People (Acoustic Versions)
83,2012-07-30 02:06:41,Regret (Acoustic),Alternative Rock,25,26,Shadows Collide with People (Acoustic Versions)
84,2012-07-30 02:10:26,Ricky (Acoustic),Alternative Rock,25,26,Shadows Collide with People (Acoustic Versions)
85,2012-07-30 02:12:08,Second Walk (Acoustic),Alternative Rock,25,26,Shadows Collide with People (Acoustic Versions)
86,2012-07-30 02:14:01,Everyperson (Acoustic),Alternative Rock,25,26,Shadows Collide with People (Acoustic Versions)
