,sortedIml...1.,sortedIml...6.,sortedIml...2.,genreRank,timeID,sortedIml...7.
1,2012-04-03 14:36:21,バレエ音楽「ペトルーシュカ」　P.ヤルヴィ　2011年,none,2,62,album
2,2012-04-03 15:07:15,シュニトケ：ヴィオラ協奏曲(1985)　バシュメット／ゲルギエフ,none,2,63,album
3,2012-04-03 15:44:00,シュニトケ『交響曲 第9番』(1997)　（ラスカートフによる再構成版）,none,2,63,album
4,2012-04-03 16:19:45,シュニトケ『交響曲 第8番』(1994),none,2,64,album
5,2012-04-03 16:41:31,シュニトケ『交響曲 第7番』(1993),none,2,64,album
6,2012-04-03 17:22:15,シュニトケ『交響曲 第0番』(1957),none,2,65,album
7,2012-04-11 23:17:01,Berio:シュマンⅣb,none,2,95,佐藤淳一　博士後期課程学位審査会「ルチアーノ・ベリオの肖像Ⅲ」
8,2012-04-11 23:28:51,Shostakovich: String Quartet _8 In C Minor_ Op. 110 - 1. Largo,Classical,1,95,Shostakovich: Complete String Quartets [Disc 1]
9,2012-04-11 23:31:36,Shostakovich: String Quartet _8 In C Minor_ Op. 110 - 2. Allegro Molto,Classical,1,95,Shostakovich: Complete String Quartets [Disc 1]
10,2012-04-11 23:35:52,Shostakovich: String Quartet _8 In C Minor_ Op. 110 - 3. Allegretto,Classical,1,95,Shostakovich: Complete String Quartets [Disc 1]
11,2012-04-11 23:46:44,Shostakovich: String Quartet _8 In C Minor_ Op. 110 - 4. Largo,Classical,1,95,Shostakovich: Complete String Quartets [Disc 1]
12,2012-04-12 14:09:08,Yoshimatsu: Threnody To Toki _ 吉松隆　朱鷺によせる哀歌(1980),Classical,1,110,The Age of Birds : Takashi Yoshimatsu / 鳥たちの時代　吉松隆作品集 [disk 1]
13,2012-04-12 15:45:57,【木管五重奏】 C.ニールセン／木管五重奏曲,none,2,111,album
14,2012-04-12 15:59:41,【木管五重奏】 F.ダンツィ／木管五重奏曲 変ロ長調,none,2,111,album
15,2012-04-12 16:11:35,木管五重奏のための６つのバガテル／G・リゲティ,none,2,112,album
16,2012-04-12 17:02:03,G.リゲティ作　「木管五重奏の為の１０の小品」,none,2,113,album
17,2012-04-12 17:04:58,【木管五重奏】 ノヴェレッテ／F.プーランク,none,2,113,album
18,2012-04-12 17:18:08,【木管五重奏】 ルネ王の暖炉／D.ミヨー,none,2,113,album
19,2012-04-13 09:50:42,Konzert Fur Viola Und Orchester - Moderato,Classical,1,129,Violawerke Des 20. Jahrhundrets
20,2012-04-13 09:54:20,Konzert Fur Viola Und Orchester - Adgio Religioso,Classical,1,129,Violawerke Des 20. Jahrhundrets
21,2012-04-13 09:58:27,Konzert Fur Viola Und Orchester - Allegro Vivace,Classical,1,129,Violawerke Des 20. Jahrhundrets
22,2012-04-14 20:10:10,フランセ　八重奏曲,none,2,164,album
23,2012-04-14 22:00:32,フランセ　　クラリネット協奏曲,none,2,166,album
24,2012-04-19 11:02:20,Prelude No. 21,Jazz,7,107,J.S. Bach Preludes & Fugues Vol. 1
