,sortedIml...1.,sortedIml...6.,sortedIml...2.,genreRank,timeID,sortedIml...7.
1,2012-04-03 08:08:01,夏の黄金比,Alternative & Punk _ Pop _ Rock,44,56,シフォン主義
2,2012-04-03 08:14:14,元素紀行,Alternative & Punk _ Pop _ Rock,44,56,シフォン主義
3,2012-04-03 08:18:08,テレ東,Alternative & Punk _ Pop _ Rock,44,56,ハイファイ新書
4,2012-04-03 08:21:17,地獄先生,Alternative & Punk _ Pop _ Rock,44,56,ハイファイ新書
5,2012-04-03 08:24:50,ふしぎデカルト,Alternative & Punk _ Pop _ Rock,44,56,ハイファイ新書
6,2012-04-03 08:32:18,品川ナンバー,Alternative & Punk _ Pop _ Rock,44,56,ハイファイ新書
7,2012-04-03 08:39:42,さわやか会社員,Alternative & Punk _ Pop _ Rock,44,56,ハイファイ新書
8,2012-04-03 08:47:36,バーモント・キッス,Alternative & Punk _ Pop _ Rock,44,56,ハイファイ新書
9,2012-04-03 08:55:34,バーモント・キッス 相対性理論【歌詞付き】,none,1,56,album
10,2012-04-03 08:58:19,元素紀行-相対性理論,none,1,56,album
11,2012-04-03 09:01:49,相対性理論 - おはようオーパーツ,none,1,57,album
12,2012-04-03 09:04:33,相対性理論 - スマトラ警備隊,none,1,57,album
13,2012-04-03 09:08:32,相対性理論 - ペペロンチーノ・キャンディ 2009_11_16 渋谷Duo,none,1,57,album
14,2012-04-03 09:17:38,相対性理論 - 気になるあの娘,none,1,57,album
15,2012-04-03 09:20:54,相対性理論 - 三千万年,none,1,57,album
16,2012-04-03 09:24:09,相対性理論 - 三千万年,none,1,57,album
17,2012-04-03 09:27:25,相対性理論 - 小学館,none,1,57,album
18,2012-04-03 09:30:30,相対性理論 - 地獄先生 (Soutaiseiriron - Jigoku Sensei),none,1,57,album
19,2012-04-03 09:38:51,相対性理論　（恋は）百年戦争,none,1,57,album
20,2012-04-03 09:42:10,相対性理論　シンデレラ,none,1,57,album
21,2012-04-03 09:49:24,相対性理論 ルネサンス,none,1,57,album
22,2012-04-03 09:53:03,相対性理論　四角革命,none,1,57,album
23,2012-04-03 09:59:42,相対性理論-マイハートハードピンチ,none,1,57,album
24,2012-04-03 10:03:31,相対性理論－品川ナンバー　Soutaiseiriron - Shinagawa Number,none,1,58,album
25,2012-04-03 10:10:53,相対性理論『ミス・パラレルワールド』,none,1,58,album
26,2012-04-03 10:13:05,相対性理論＋渋谷慶一郎 "スカイライダーズ" Music Video,none,1,58,album
27,2012-04-03 10:19:45,童貞問題／相対性理論,none,1,58,album
28,2012-04-03 10:23:38,品川ナンバー  相対性理論,none,1,58,album
29,2012-04-03 11:43:11,Something's Missing,ポップ,4,59,Any Given Thursday
