,sortedIml...1.,sortedIml...6.,sortedIml...2.,genreRank,timeID,sortedIml...7.
1,2012-04-03 18:40:03,Room 335,Jazz,1,66,Larry Carlton
2,2012-04-03 18:44:31,Until Such Time,Jazz,1,66,This Is Jazz _17
3,2012-04-04 02:31:09,Don't Get Me Wrong,R&B,15,74,Kiss Me
4,2012-04-10 00:01:58,SO ADDICTED (ENGLISH VERSION),J-Pop,24,48,One
5,2012-04-10 00:37:20,Mas Que Nada,Latin,12,48,Timeless [Bonus Tracks]
6,2012-04-10 00:52:29,[The Verb To Be],ジャズ,10,48,Back On The Block
7,2012-04-10 03:41:18,Duran feat. "DOPE" by Amiri Baraka,Jazz,1,51,SECOND REPORT FROM IRON MOUNTAIN USA
8,2012-04-14 21:19:50,green_arr_arr,none,3,165,album
9,2012-04-14 21:20:15,MH,none,3,165,satsuki のアルバム
10,2012-04-14 21:22:11,ちも,none,3,165,佐藤 咲月 のアルバム
11,2012-04-14 21:35:16,Liberty,ポップ,4,165,Adagio
12,2012-04-14 21:35:18,Life Is Cool,ポップ,4,165,Adagio
13,2012-04-14 21:35:19,Somewhere,ポップ,4,165,Adagio
14,2012-04-14 21:35:20,Testimony,ポップ,4,165,Adagio
15,2012-04-14 21:35:20,Far Away,ポップ,4,165,Adagio
16,2012-04-14 21:35:20,Hate Without Frontiers,ポップ,4,165,Adagio
17,2012-04-14 21:35:21,I Don't Wanna Be,ポップ,4,165,Adagio
18,2012-04-14 21:35:21,Chyna Girl,ポップ,4,165,Adagio
19,2012-04-14 21:35:21,Everybody,ポップ,4,165,Adagio
20,2012-04-14 21:35:21,Lacrimosa,ポップ,4,165,Adagio
21,2012-04-14 21:35:21,I'll Be There,ポップ,4,165,Adagio
22,2012-04-14 21:35:21,Sorry,ポップ,4,165,Adagio
23,2012-04-14 21:35:22,Just The Way You Are,none,3,165,Billy The Hit's
24,2012-04-14 21:35:22,Up Town Girl,none,3,165,Billy The Hit's
25,2012-04-14 21:35:22,1000 Words,ポップ,4,165,Adagio
26,2012-04-14 21:35:22,Real Emotion,ポップ,4,165,Adagio
27,2012-04-14 21:35:22,You Can't Hide,ポップ,4,165,Adagio
28,2012-04-14 21:35:22,Miss You,ポップ,4,165,Adagio
29,2012-04-14 21:35:23,An Innocent Man,none,3,165,Billy The Hit's
30,2012-04-14 21:35:23,The River Of Dreams,none,3,165,Billy The Hit's
31,2012-04-14 21:35:23,Tell Her Abot It,none,3,165,Billy The Hit's
32,2012-04-14 21:35:23,My Life,none,3,165,Billy The Hit's
33,2012-04-14 21:35:23,The Longest Time,none,3,165,Billy The Hit's
34,2012-04-14 21:35:24,Allentown,none,3,165,Billy The Hit's
35,2012-04-14 21:35:24,The Entertainer,none,3,165,Billy The Hit's
36,2012-04-14 21:35:24,Goodnight Saigon,none,3,165,Billy The Hit's
37,2012-04-14 21:35:24,We Didn't Start The Fire,none,3,165,Billy The Hit's
38,2012-04-14 21:35:24,Everybody Loves You Now,none,3,165,Billy The Hit's
39,2012-04-14 21:35:25,All For Leyna,none,3,165,Billy The Hit's
40,2012-04-14 21:35:25,Streetlife Serenader,none,3,165,Billy The Hit's
41,2012-04-14 21:35:25,New York State Of Mind,none,3,165,Billy The Hit's
42,2012-04-14 21:35:25,Leave A Tender Moment,none,3,165,Billy The Hit's
43,2012-04-14 21:35:25,This Is The Time,none,3,165,Billy The Hit's
44,2012-04-14 21:35:26,A Matter Of Trust,none,3,165,Billy The Hit's
45,2012-04-14 21:35:26,Say Goodbye To Hollywood,none,3,165,Billy The Hit's
46,2012-04-14 21:35:26,She's Got A Way,none,3,165,Billy The Hit's
47,2012-04-14 21:35:26,Movin' Out (Anthony's Song),none,3,165,Billy The Hit's
48,2012-04-14 21:35:26,Modern Woman,none,3,165,Billy The Hit's
49,2012-04-14 21:35:26,She's Always A Woman,none,3,165,Billy The Hit's
50,2012-04-14 21:35:27,Honesty,none,3,165,Billy The Hit's
51,2012-04-14 21:35:27,I Got To Extremes,none,3,165,Billy The Hit's
52,2012-04-14 21:35:27,Don't Ask Me Why,none,3,165,Billy The Hit's
53,2012-04-14 21:35:27,The Downeaster "Alexa",none,3,165,Billy The Hit's
54,2012-04-14 21:35:27,Leninngrad,none,3,165,Billy The Hit's
55,2012-04-14 21:35:27,You May Be Right,none,3,165,Billy The Hit's
56,2012-04-14 21:35:28,Superstar (Remix),ポップ,4,165,Carpenters - Their Greatest Hits
57,2012-04-14 21:35:28,Top Of The World  (Remix),ポップ,4,165,Carpenters - Their Greatest Hits
58,2012-04-14 21:35:28,Yesterday Once More,ポップ,4,165,Carpenters - Their Greatest Hits
59,2012-04-14 21:35:28,All About Soul,none,3,165,Billy The Hit's
60,2012-04-14 21:35:28,The Stranger,none,3,165,Billy The Hit's
61,2012-04-14 21:35:28,Rainy Days And Mondays (Remix),ポップ,4,165,Carpenters - Their Greatest Hits
62,2012-04-14 21:35:29,Solitaire,ポップ,4,165,Carpenters - Their Greatest Hits
63,2012-04-14 21:35:29,Hurting Each Other,ポップ,4,165,Carpenters - Their Greatest Hits
64,2012-04-14 21:35:29,This Masquerade,ポップ,4,165,Carpenters - Their Greatest Hits
65,2012-04-14 21:35:29,Ticket To Ride,ポップ,4,165,Carpenters - Their Greatest Hits
66,2012-04-14 21:35:29,Goodbye To Love,ポップ,4,165,Carpenters - Their Greatest Hits
67,2012-04-14 21:35:30,Touch Me When We're Dancing,ポップ,4,165,Carpenters - Their Greatest Hits
68,2012-04-14 21:35:30,I Won't Last A Day Without You,ポップ,4,165,Carpenters - Their Greatest Hits
69,2012-04-14 21:35:30,We've Only Just Begun (Remix),ポップ,4,165,Carpenters - Their Greatest Hits
70,2012-04-14 21:35:30,Those Good Old Dreams,ポップ,4,165,Carpenters - Their Greatest Hits
71,2012-04-14 21:35:31,Calling Occupants Of Interplanetary Craft (Remix),ポップ,4,165,Carpenters - Their Greatest Hits
72,2012-04-14 21:35:31,Jambalaya,ポップ,4,165,Carpenters - Their Greatest Hits
73,2012-04-14 21:35:31,For All We Know,ポップ,4,165,Carpenters - Their Greatest Hits
74,2012-04-14 21:35:31,All You Get From Love Is A Love Song,ポップ,4,165,Carpenters - Their Greatest Hits
75,2012-04-14 21:35:31,Close To You,ポップ,4,165,Carpenters - Their Greatest Hits
76,2012-04-14 21:35:31,Only Yesterday,ポップ,4,165,Carpenters - Their Greatest Hits
