,sortedIml...1.,sortedIml...6.,sortedIml...2.,genreRank,timeID,sortedIml...7.
1,2012-04-01 22:12:07,The Nearness Of You,Pop,2,22,Come Away With Me
2,2012-04-03 02:38:48,apple_song 1,none,13,50,album
3,2012-04-03 02:41:41,apple_song 2,none,13,50,album
4,2012-04-03 02:44:49,Are You Lonesome Tonight,Rock,1,50,Elvis Presley Best
5,2012-04-03 05:26:56,another psychdelic point remix _ DRITT DRITTEL,Indie Rock,5,53,PM: Point Mixes
6,2012-04-03 09:24:25,Stardust,Pop,2,57,Stardust
7,2012-04-03 09:28:48,Georgia On My Mind,Pop,2,57,Stardust
8,2012-04-03 09:32:26,Blue Skies,Pop,2,57,Stardust
9,2012-04-03 09:40:17,Unchained Melody,Pop,2,57,Stardust
10,2012-04-03 09:57:42,Someone To Watch Over Me,Pop,2,57,Stardust
11,2012-04-03 13:07:33,All Of Me,Pop,2,61,Stardust
12,2012-04-03 13:23:08,Already Gone,Rock,1,61,On The Border
13,2012-04-03 13:46:26,And So It Goes,Jazz,3,61,Center Stage
14,2012-04-03 13:56:22,Angel Eyes,Country & Folk,10,61,Stardust [Disc 2]
15,2012-04-03 13:59:24,Annie's Song,Country & Folk,10,61,The Essential John Denver [Disc1]
16,2012-04-03 18:16:12,Crystal Silence,Jazz,3,66,Rendezvous In New York [Disc 1]
17,2012-04-03 18:24:46,Bessie's Blues,Jazz,3,66,Rendezvous In New York [Disc 1]
18,2012-04-04 03:22:48,Another One Bites The Dust,Rock,1,75,Greatest Hits
19,2012-04-04 04:31:25,Armando's Tango,Jazz,3,76,Rendezvous In New York [Disc 2]
20,2012-04-06 22:17:05,はじめに,iTunes U,14,142,インターネット 2011
21,2012-04-07 01:11:07,デジタルコミュニケーションとは（基礎編１）,iTunes U,14,145,インターネット 2011
22,2012-04-07 19:49:29,デジタルコミュニケーションとは（基礎編２）,iTunes U,14,163,インターネット 2011
23,2012-04-07 22:10:24,通信インフラストラクチャ（基礎編３）,iTunes U,14,166,インターネット 2011
24,2012-04-08 04:36:13,通信インフラストラクチャ（基礎編４）,iTunes U,14,4,インターネット 2011
25,2012-04-08 06:07:22,IPアドレスとドメイン,iTunes U,14,6,インターネット 2011
26,2012-04-09 04:37:43,これまでのおさらい,iTunes U,14,28,インターネット 2011
27,2012-04-09 04:37:48,実空間インターネット,iTunes U,14,28,インターネット 2011
28,2012-04-09 04:37:53,インターネットとTV(1),iTunes U,14,28,インターネット 2011
29,2012-04-09 04:37:56,インターネットとTV(2),iTunes U,14,28,インターネット 2011
30,2012-04-09 04:38:01,インターネットとTV(3),iTunes U,14,28,インターネット 2011
31,2012-04-09 04:38:04,インターネットと震災,iTunes U,14,28,インターネット 2011
